	source	target	weight	edge_sample	edcolor
263	Corynebacterium matruchotii	Neisseria meningitidis	1.0	Intertype	#cccccc
264	Neisseria meningitidis	Neisseria cinerea	1.0	Intertype	#cccccc
265	Neisseria cinerea	Neisseria meningitidis	1.0	Intertype	#cccccc
266	Porphyromonas catoniae	Alloprevotella tannerae	1.0	Intertype	#cccccc
267	Alloprevotella tannerae	Porphyromonas catoniae	1.0	Intertype	#cccccc
268	Porphyromonas catoniae	Candidatus Saccharibacteria oral taxon TM7x	1.0	Intertype	#cccccc
269	Candidatus Saccharibacteria oral taxon TM7x	Porphyromonas catoniae	1.0	Intertype	#cccccc
270	Porphyromonas catoniae	Capnocytophaga sp. oral taxon 329	1.0	Supragingival_plaque	#ff964f
271	Capnocytophaga sp. oral taxon 329	Porphyromonas catoniae	1.0	Supragingival_plaque	#ff964f
272	Porphyromonas catoniae	Chlamydia trachomatis	1.0	Intertype	#cccccc
273	Chlamydia trachomatis	Porphyromonas catoniae	1.0	Intertype	#cccccc
274	Porphyromonas catoniae	Gemella haemolysans	1.0	Intertype	#cccccc
275	Gemella haemolysans	Porphyromonas catoniae	1.0	Intertype	#cccccc
276	Porphyromonas catoniae	Gemella sanguinis	1.0	Intertype	#cccccc
277	Gemella sanguinis	Porphyromonas catoniae	1.0	Intertype	#cccccc
278	Porphyromonas catoniae	Granulicatella elegans	1.0	Intertype	#cccccc
279	Granulicatella elegans	Porphyromonas catoniae	1.0	Intertype	#cccccc
280	Porphyromonas catoniae	Haemophilus haemolyticus	1.0	Intertype	#cccccc
281	Haemophilus haemolyticus	Porphyromonas catoniae	1.0	Intertype	#cccccc
282	Porphyromonas catoniae	Haemophilus influenzae	1.0	Intertype	#cccccc
283	Haemophilus influenzae	Porphyromonas catoniae	1.0	Intertype	#cccccc
284	Porphyromonas catoniae	Haemophilus parainfluenzae	1.0	Intertype	#cccccc
285	Haemophilus parainfluenzae	Porphyromonas catoniae	1.0	Intertype	#cccccc
286	Porphyromonas catoniae	Haemophilus sp. oral taxon 851	1.0	Intertype	#cccccc
287	Haemophilus sp. oral taxon 851	Porphyromonas catoniae	1.0	Intertype	#cccccc
288	Porphyromonas catoniae	Haemophilus sputorum	1.0	Intertype	#cccccc
289	Haemophilus sputorum	Porphyromonas catoniae	1.0	Intertype	#cccccc
290	Porphyromonas catoniae	Leptotrichia shahii	1.0	Intertype	#cccccc
291	Leptotrichia shahii	Porphyromonas catoniae	1.0	Intertype	#cccccc
292	Porphyromonas gingivalis	Actinomyces naeslundii	1.0	Intertype	#cccccc
293	Actinomyces naeslundii	Porphyromonas gingivalis	1.0	Intertype	#cccccc
294	Porphyromonas gingivalis	Actinomyces oris	1.0	Intertype	#cccccc
295	Actinomyces oris	Porphyromonas gingivalis	1.0	Intertype	#cccccc
296	Porphyromonas gingivalis	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
297	Actinomyces sp. ICM47	Porphyromonas gingivalis	1.0	Intertype	#cccccc
298	Porphyromonas gingivalis	Actinomyces sp. oral taxon 170	1.0	Intertype	#cccccc
299	Actinomyces sp. oral taxon 170	Porphyromonas gingivalis	1.0	Intertype	#cccccc
300	Porphyromonas gingivalis	Actinomyces sp. oral taxon 171	1.0	Intertype	#cccccc
301	Actinomyces sp. oral taxon 171	Porphyromonas gingivalis	1.0	Intertype	#cccccc
302	Porphyromonas gingivalis	Capnocytophaga sp. oral taxon 332	1.0	Intertype	#cccccc
303	Capnocytophaga sp. oral taxon 332	Porphyromonas gingivalis	1.0	Intertype	#cccccc
304	Porphyromonas gingivalis	Capnocytophaga sputigena	1.0	Intertype	#cccccc
305	Capnocytophaga sputigena	Porphyromonas gingivalis	1.0	Intertype	#cccccc
306	Porphyromonas gingivalis	Corynebacterium durum	1.0	Intertype	#cccccc
307	Corynebacterium durum	Porphyromonas gingivalis	1.0	Intertype	#cccccc
308	Porphyromonas gingivalis	Corynebacterium matruchotii	1.0	Intertype	#cccccc
309	Corynebacterium matruchotii	Porphyromonas gingivalis	1.0	Intertype	#cccccc
310	Porphyromonas gingivalis	Neisseria cinerea	1.0	Attached	#4e4dfc
311	Neisseria cinerea	Porphyromonas gingivalis	1.0	Attached	#4e4dfc
312	Porphyromonas gingivalis	Neisseria meningitidis	1.0	Intertype	#cccccc
313	Neisseria meningitidis	Porphyromonas gingivalis	1.0	Intertype	#cccccc
314	Porphyromonas sp. oral taxon 278	Actinomyces naeslundii	1.0	Intertype	#cccccc
315	Actinomyces naeslundii	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
316	Porphyromonas sp. oral taxon 278	Actinomyces oris	1.0	Intertype	#cccccc
317	Actinomyces oris	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
318	Porphyromonas sp. oral taxon 278	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
319	Actinomyces sp. ICM47	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
320	Porphyromonas sp. oral taxon 278	Actinomyces sp. oral taxon 170	1.0	Intertype	#cccccc
