	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
947	Leptotrichia hofstadii	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
948	Prevotella bivia	6	Tongue_dorsum	#ff0000	9.0	4.0	#ff0000	#7effb5
949	Oribacterium sp. oral taxon 078	7	Subgingival_plaque	#e4cf74	9.0	4.0	#ff0000	#7effb5
950	Prevotella conceptionensis	6	Subgingival_plaque	#e4cf74	2.0	5.0	#10a2f0	#beec8e
951	Megasphaera micronuciformis	6	Saliva	#7effb5	2.0	5.0	#10a2f0	#beec8e
952	Prevotella conceptionensis	6	Subgingival_plaque	#e4cf74	2.0	5.0	#10a2f0	#beec8e
953	Pasteurella multocida	5	Attached	#4e4dfc	2.0	5.0	#10a2f0	#beec8e
954	Prevotella conceptionensis	6	Subgingival_plaque	#e4cf74	2.0	5.0	#10a2f0	#beec8e
955	Porphyromonadaceae bacterium COT-184 OH4590	6	Subgingival_plaque	#e4cf74	2.0	5.0	#10a2f0	#beec8e
956	Prevotella conceptionensis	6	Subgingival_plaque	#e4cf74	2.0	5.0	#10a2f0	#beec8e
957	Porphyromonas macacae	5	Throat	#ff5029	2.0	5.0	#10a2f0	#beec8e
958	Prevotella denticola	7	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
959	Arcanobacterium haemolyticum	4	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
960	Prevotella denticola	7	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
961	Dialister micraerophilus	2	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
962	Prevotella denticola	7	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
963	Porphyromonas bennonis	1	Posterior_fornix	#4df3ce	0.0	4.0	#8000ff	#7effb5
964	Prevotella denticola	7	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
965	Prevotella amnii	6	Tongue_dorsum	#ff0000	0.0	4.0	#8000ff	#7effb5
966	Prevotella denticola	7	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
967	Prevotella bergensis	7	Stool	#b2f396	0.0	4.0	#8000ff	#7effb5
968	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
969	Actinomyces johnsonii	8	Subgingival_plaque	#e4cf74	0.0	3.0	#8000ff	#3febd5
970	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
971	Actinomyces massiliensis	8	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
972	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
973	Alloprevotella rava	6	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
974	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
975	Anaeroglobus geminatus	4	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
976	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
977	Arcanobacterium haemolyticum	4	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
978	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
979	Atopobium rimae	3	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
980	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
981	Capnocytophaga sp. oral taxon 323	8	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
982	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
983	Capnocytophaga sp. oral taxon 324	7	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
984	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
985	Capnocytophaga sp. oral taxon 326	6	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
986	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
987	Capnocytophaga sp. oral taxon 335	8	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
988	Prevotella disiens	1	Throat	#ff5029	0.0	4.0	#8000ff	#7effb5
989	Capnocytophaga sp. oral taxon 380	8	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
