	source	target	weight	edge_sample	edcolor
14614	Streptococcus pneumoniae	Prevotella sp. F0091	1.0	Intertype	#cccccc
14615	Prevotella sp. F0091	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14616	Streptococcus pneumoniae	Prevotella sp. HUN102	1.0	Intertype	#cccccc
14617	Prevotella sp. HUN102	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14618	Streptococcus pneumoniae	Propionibacterium propionicum	1.0	Intertype	#cccccc
14619	Propionibacterium propionicum	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14620	Streptococcus pneumoniae	Rothia aeria	1.0	Intertype	#cccccc
14621	Rothia aeria	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14622	Streptococcus pneumoniae	Selenomonas artemidis	1.0	Intertype	#cccccc
14623	Selenomonas artemidis	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14624	Streptococcus pneumoniae	Selenomonas infelix	1.0	Attached	#4e4dfc
14625	Selenomonas infelix	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14626	Streptococcus pneumoniae	Selenomonas noxia	1.0	Intertype	#cccccc
14627	Selenomonas noxia	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14628	Streptococcus pneumoniae	Selenomonas sp. FOBRC6	1.0	Attached	#4e4dfc
14629	Selenomonas sp. FOBRC6	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14630	Streptococcus pneumoniae	Selenomonas sp. FOBRC9	1.0	Intertype	#cccccc
14631	Selenomonas sp. FOBRC9	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14632	Streptococcus pneumoniae	Selenomonas sp. oral taxon 138	1.0	Attached	#4e4dfc
14633	Selenomonas sp. oral taxon 138	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14634	Streptococcus pneumoniae	Simonsiella muelleri	1.0	Attached	#4e4dfc
14635	Simonsiella muelleri	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14636	Streptococcus pneumoniae	Staphylococcus pasteuri	1.0	Attached	#4e4dfc
14637	Staphylococcus pasteuri	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14638	Streptococcus pneumoniae	Streptococcus agalactiae	1.0	Intertype	#cccccc
14639	Streptococcus agalactiae	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14640	Streptococcus pneumoniae	Streptococcus constellatus	1.0	Intertype	#cccccc
14641	Streptococcus constellatus	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14642	Streptococcus pneumoniae	Streptococcus cristatus	1.0	Attached	#4e4dfc
14643	Streptococcus cristatus	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14644	Streptococcus pneumoniae	Streptococcus gordonii	1.0	Attached	#4e4dfc
14645	Streptococcus gordonii	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14646	Streptococcus pneumoniae	Streptococcus intermedius	1.0	Intertype	#cccccc
14647	Streptococcus intermedius	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14648	Streptococcus pneumoniae	Streptococcus mitis	1.0	Attached	#4e4dfc
14649	Streptococcus mitis	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14650	Streptococcus pneumoniae	Streptococcus mutans	1.0	Intertype	#cccccc
14651	Streptococcus mutans	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14652	Streptococcus pneumoniae	Streptococcus oligofermentans	1.0	Attached	#4e4dfc
14653	Streptococcus oligofermentans	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14654	Streptococcus pneumoniae	Streptococcus oralis	1.0	Attached	#4e4dfc
14655	Streptococcus oralis	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14656	Streptococcus pseudopneumoniae	[Eubacterium] yurii	1.0	Intertype	#cccccc
14657	[Eubacterium] yurii	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14658	Streptococcus pseudopneumoniae	Actinomyces massiliensis	1.0	Intertype	#cccccc
14659	Actinomyces massiliensis	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14660	Streptococcus pseudopneumoniae	Actinomyces meyeri	1.0	Intertype	#cccccc
14661	Actinomyces meyeri	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14662	Streptococcus pseudopneumoniae	Actinomyces sp. oral taxon 170	1.0	Intertype	#cccccc
14663	Actinomyces sp. oral taxon 170	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14664	Streptococcus pseudopneumoniae	Actinomyces sp. oral taxon 178	1.0	Intertype	#cccccc
14665	Actinomyces sp. oral taxon 178	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14666	Streptococcus pseudopneumoniae	Actinomyces sp. oral taxon 877	1.0	Intertype	#cccccc
14667	Actinomyces sp. oral taxon 877	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14668	Streptococcus pseudopneumoniae	Actinomyces viscosus	1.0	Intertype	#cccccc
14669	Actinomyces viscosus	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14670	Streptococcus pseudopneumoniae	Afipia birgiae	1.0	Intertype	#cccccc
14671	Afipia birgiae	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14672	Streptococcus pseudopneumoniae	Aggregatibacter actinomycetemcomitans	1.0	Intertype	#cccccc
14673	Aggregatibacter actinomycetemcomitans	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14674	Streptococcus pseudopneumoniae	Alloprevotella rava	1.0	Intertype	#cccccc
