	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
56	Helicobacteraceae	Aurantimonadaceae	1.0	41	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
57	Aurantimonadaceae	Helicobacteraceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
58	Helicobacteraceae	Chromobacteriaceae	1.0	41	8	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
59	Chromobacteriaceae	Helicobacteraceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
60	Hydrogenophilaceae	Alcaligenaceae	1.0	35	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
61	Alcaligenaceae	Hydrogenophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
62	Hydrogenophilaceae	Bacillaceae	1.0	35	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
63	Bacillaceae	Hydrogenophilaceae	1.0	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
64	Hydrogenophilaceae	Bradyrhizobiaceae	1.0	35	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	61
65	Bradyrhizobiaceae	Hydrogenophilaceae	1.0	5	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	61
66	Hydrogenophilaceae	Chromatiaceae	1.0	35	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
67	Chromatiaceae	Hydrogenophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
68	Hydrogenophilaceae	Geodermatophilaceae	1.0	35	41	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
69	Geodermatophilaceae	Hydrogenophilaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
70	Intrasporangiaceae	Alcaligenaceae	1.0	29	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
71	Alcaligenaceae	Intrasporangiaceae	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
72	Intrasporangiaceae	Bacillaceae	1.0	29	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
73	Bacillaceae	Intrasporangiaceae	1.0	22	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
74	Intrasporangiaceae	Bradyrhizobiaceae	1.0	29	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	61
75	Bradyrhizobiaceae	Intrasporangiaceae	1.0	5	2	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	61
76	Intrasporangiaceae	Chromatiaceae	1.0	29	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
77	Chromatiaceae	Intrasporangiaceae	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
78	Intrasporangiaceae	Geodermatophilaceae	1.0	29	41	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
79	Geodermatophilaceae	Intrasporangiaceae	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
80	Intrasporangiaceae	Hydrogenophilaceae	1.0	29	35	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
81	Hydrogenophilaceae	Intrasporangiaceae	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
82	Lachnospiraceae	Atopobiaceae	5.0	1	24	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	61
83	Atopobiaceae	Lachnospiraceae	5.0	24	53	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	61
84	Lachnospiraceae	Dermacoccaceae	6.0	1	2	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	61
85	Dermacoccaceae	Lachnospiraceae	6.0	12	53	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	61
86	Lachnospiraceae	Erysipelotrichaceae	6.0	1	12	Saliva	Throat	Intertype	#7effb5	#ff5029	#cccccc	61
87	Erysipelotrichaceae	Lachnospiraceae	6.0	41	53	Throat	Saliva	Intertype	#ff5029	#7effb5	#cccccc	61
