TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Peptostreptococcus stomatis	Throat	#ff5c2f	11	29.0	21.0	#ff4a26	#ffa558
Porphyromonas endodontalis	Saliva	#cbe486	19	10.0	11.0	#1fd3e1	#4ef3cd
Porphyromonas gingivalis	Keratinized_gingiva	#17cbe4	17	30.0	10.0	#ff3219	#3dead5
Porphyromonas gulae	R_Retroauricular_crease	#acf59a	2	12.0	6.0	#3febd5	#10a2f0
Porphyromonas macacae	Attached	#622ffe	8	1.0	3.0	#7216ff	#4856fb
Porphyromonas somerae	Palatine_Tonsils	#70febc	15	31.0	9.0	#ff190d	#2adddd
Porphyromonas sp. COT-239 OH1446	R_Retroauricular_crease	#acf59a	2	6.0	2.0	#218cf4	#5c38fd
Porphyromonas sp. KLE 1280	Hard_palate	#08acee	12	3.0	3.0	#5247fc	#4856fb
Porphyromonas sp. oral taxon 278	Saliva	#cbe486	15	22.0	20.0	#ded579	#f9bb66
Porphyromonas sp. oral taxon 279	Hard_palate	#08acee	15	31.0	9.0	#ff190d	#2adddd
Porphyromonas uenonis	Posterior_fornix	#8efeac	4	2.0	0.0	#622ffe	#8000ff
Prevotella aurantiaca	Tongue_dorsum	#ff2f18	12	15.0	3.0	#6efebe	#4856fb
Prevotella bergensis	Stool	#e8cb72	2	6.0	2.0	#218cf4	#5c38fd
Prevotella bivia	Saliva	#cbe486	12	3.0	3.0	#5247fc	#4856fb
Prevotella buccae	Saliva	#cbe486	10	1.0	3.0	#7216ff	#4856fb
Prevotella dentalis	Saliva	#cbe486	4	2.0	0.0	#622ffe	#8000ff
Prevotella dentasini	Saliva	#cbe486	3	29.0	14.0	#ff4a26	#88ffaf
Prevotella disiens	Palatine_Tonsils	#70febc	6	23.0	0.0	#eec66d	#8000ff
Prevotella enoeca	Subgingival_plaque	#ffac5c	7	8.0	16.0	#01b3ec	#aef498
Prevotella fusca	Palatine_Tonsils	#70febc	8	1.0	3.0	#7216ff	#4856fb
Prevotella histicola	Palatine_Tonsils	#70febc	17	9.0	10.0	#0fc4e7	#3dead5
Prevotella intermedia	Palatine_Tonsils	#70febc	19	1.0	3.0	#7216ff	#4856fb
Prevotella marshii	Subgingival_plaque	#ffac5c	16	31.0	9.0	#ff190d	#2adddd
Prevotella melaninogenica	Palatine_Tonsils	#70febc	14	18.0	3.0	#9efaa2	#4856fb
Prevotella micans	Subgingival_plaque	#ffac5c	15	10.0	11.0	#1fd3e1	#4ef3cd
Prevotella multiformis	Subgingival_plaque	#ffac5c	10	1.0	3.0	#7216ff	#4856fb
Prevotella multisaccharivorax	Subgingival_plaque	#ffac5c	4	29.0	14.0	#ff4a26	#88ffaf
Prevotella oralis	Subgingival_plaque	#ffac5c	15	10.0	11.0	#1fd3e1	#4ef3cd
Prevotella pallens	Throat	#ff5c2f	15	18.0	3.0	#9efaa2	#4856fb
Prevotella salivae	Saliva	#cbe486	17	30.0	10.0	#ff3219	#3dead5
Prevotella scopos	Throat	#ff5c2f	8	1.0	3.0	#7216ff	#4856fb
Prevotella sp. 109	Stool	#e8cb72	2	32.0	8.0	#ff0000	#17cbe4
Prevotella sp. C561	Palatine_Tonsils	#70febc	11	5.0	25.0	#3176f8	#ff3b1e
Prevotella sp. HJM029	Palatine_Tonsils	#70febc	15	31.0	9.0	#ff190d	#2adddd
Prevotella sp. ICM33	Saliva	#cbe486	4	2.0	0.0	#622ffe	#8000ff
Prevotella sp. oral taxon 306	Throat	#ff5c2f	4	14.0	0.0	#5efac6	#8000ff
Prevotella sp. oral taxon 473	Keratinized_gingiva	#17cbe4	15	10.0	11.0	#1fd3e1	#4ef3cd
Prevotella veroralis	Saliva	#cbe486	17	30.0	10.0	#ff3219	#3dead5
Propionibacterium acidifaciens	Subgingival_plaque	#ffac5c	6	19.0	18.0	#aef498	#d4dd80
Propionibacterium propionicum	Subgingival_plaque	#ffac5c	19	28.0	13.0	#ff6232	#74feba
Pseudoramibacter alactolyticus	Subgingival_plaque	#ffac5c	4	2.0	0.0	#622ffe	#8000ff
Riemerella anatipestifer	Saliva	#cbe486	2	22.0	15.0	#ded579	#9bfba5
Roseburia intestinalis	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Roseburia inulinivorans	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Scardovia wiggsiae	Buccal_mucosa	#445cfb	2	26.0	17.0	#ff8e4a	#c0eb8d
Selenomonas artemidis	Supragingival_plaque	#ff8646	14	22.0	20.0	#ded579	#f9bb66
Selenomonas flueggei	Saliva	#cbe486	17	9.0	10.0	#0fc4e7	#3dead5
Selenomonas sp. CM52	Subgingival_plaque	#ffac5c	17	30.0	10.0	#ff3219	#3dead5
