	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
1881	Morococcus	1	Buccal_mucosa	#1996f3	3.0	1.0	#feb562	#ff0000
1882	Prevotella	2	Throat	#ff5029	3.0	1.0	#feb562	#ff0000
1883	Parabacteroides	2	Stool	#b2f396	3.0	1.0	#feb562	#ff0000
1884	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1885	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
1886	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1887	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
1888	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1889	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
1890	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1891	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
1892	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1893	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
1894	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1895	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
1896	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1897	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
1898	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1899	Cardiobacterium	1	Subgingival_plaque	#e4cf74	1.0	0.0	#01b3ec	#8000ff
1900	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1901	Cellulomonas	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
1902	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1903	Citrobacter	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
1904	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1905	Clostridium	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
1906	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1907	Conchiformibius	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
1908	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1909	Eikenella	1	Subgingival_plaque	#e4cf74	1.0	0.0	#01b3ec	#8000ff
1910	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1911	Flavobacterium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
1912	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1913	Granulicatella	1	Attached	#4e4dfc	1.0	0.0	#01b3ec	#8000ff
1914	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1915	Isoptericola	1	Tongue_dorsum	#ff0000	1.0	0.0	#01b3ec	#8000ff
1916	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1917	Janibacter	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
1918	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1919	Kytococcus	1	Tongue_dorsum	#ff0000	1.0	0.0	#01b3ec	#8000ff
1920	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1921	Lactobacillus	1	Mid_vagina	#18cde4	1.0	0.0	#01b3ec	#8000ff
1922	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1923	Lactococcus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
1924	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1925	Mycobacterium	1	Mid_vagina	#18cde4	1.0	0.0	#01b3ec	#8000ff
1926	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1927	Novosphingobium	2	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
1928	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1929	Ottowia	2	Subgingival_plaque	#e4cf74	1.0	0.0	#01b3ec	#8000ff
1930	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1931	Paraprevotella	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
1932	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1933	Pasteurella	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
1934	Propionibacterium	2	Anterior_nares	#8000ff	0.0	0.0	#8000ff	#8000ff
1935	Porphyromonas	2	Tongue_dorsum	#ff0000	2.0	0.0	#7effb5	#8000ff
1936	Pseudomonas	2	Mid_vagina	#18cde4	2.0	0.0	#7effb5	#8000ff
1937	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
1938	Pseudomonas	2	Mid_vagina	#18cde4	2.0	0.0	#7effb5	#8000ff
1939	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
1940	Pseudomonas	2	Mid_vagina	#18cde4	2.0	0.0	#7effb5	#8000ff
1941	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
1942	Pseudomonas	2	Mid_vagina	#18cde4	2.0	0.0	#7effb5	#8000ff
1943	Actinobaculum	2	Supragingival_plaque	#ff964f	2.0	0.0	#7effb5	#8000ff
1944	Pseudomonas	2	Mid_vagina	#18cde4	2.0	0.0	#7effb5	#8000ff
1945	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
1946	Pseudomonas	2	Mid_vagina	#18cde4	2.0	0.0	#7effb5	#8000ff
1947	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
