	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
495	Lactobacillus	1	Mid_vagina	#18cde4	4.0	1.0	#62fbc4	#ff0000
496	Mycoplasma	2	Subgingival_plaque	#e4cf74	3.0	1.0	#2adddd	#ff0000
497	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
498	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
499	Abiotrophia	2	Buccal_mucosa	#1996f3	9.0	0.0	#ff0000	#8000ff
500	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
501	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
502	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
503	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
504	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
505	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
506	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
507	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
508	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
509	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
510	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
511	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
512	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
513	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
514	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
515	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
516	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
517	Kytococcus	1	Tongue_dorsum	#ff0000	7.0	0.0	#ffa558	#8000ff
518	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
519	Lachnoanaerobaculum	2	Tongue_dorsum	#ff0000	8.0	0.0	#ff592d	#8000ff
520	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
521	Lautropia	2	Supragingival_plaque	#ff964f	7.0	0.0	#ffa558	#8000ff
522	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
523	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
524	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
525	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
526	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
527	Abiotrophia	2	Buccal_mucosa	#1996f3	9.0	0.0	#ff0000	#8000ff
528	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
529	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
530	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
531	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
532	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
533	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
534	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
535	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
536	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
537	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
538	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
539	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
540	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
541	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
542	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
543	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
544	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
545	Kytococcus	1	Tongue_dorsum	#ff0000	7.0	0.0	#ffa558	#8000ff
546	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
547	Lachnoanaerobaculum	2	Tongue_dorsum	#ff0000	8.0	0.0	#ff592d	#8000ff
