	TAXA	sample_type	sample_color	frequency
0	[Clostridium] bolteae	Stool	#b2f396	13
1	[Clostridium] clostridioforme	Stool	#b2f396	16
2	[Clostridium] leptum	Anterior_nares	#8000ff	17
3	[Clostridium] methylpentosum	Stool	#b2f396	5
5	[Clostridium] saccharogumia	Stool	#b2f396	2
6	[Clostridium] scindens	Stool	#b2f396	2
8	[Clostridium] spiroforme	Stool	#b2f396	9
10	[Clostridium] symbiosum	Stool	#b2f396	10
12	[Eubacterium] cellulosolvens	Stool	#b2f396	1
13	[Eubacterium] eligens	Stool	#b2f396	15
14	[Eubacterium] hallii	Stool	#b2f396	12
17	[Eubacterium] rectale	Stool	#b2f396	27
19	[Eubacterium] siraeum	Stool	#b2f396	13
22	[Haemophilus] ducreyi	Buccal_mucosa	#1996f3	2
23	[Mannheimia] succiniciproducens	Buccal_mucosa	#1996f3	2
25	[Ruminococcus] gnavus	Stool	#b2f396	12
28	[Ruminococcus] torques	Stool	#b2f396	3
32	Acidaminococcus sp. BV3L6	Stool	#b2f396	2
33	Acidaminococcus sp. HPA0509	Stool	#b2f396	2
35	Acinetobacter baumannii	Attached	#4e4dfc	13
36	Acinetobacter johnsonii	Anterior_nares	#8000ff	3
37	Acinetobacter junii	Anterior_nares	#8000ff	7
39	Acinetobacter lwoffii	Anterior_nares	#8000ff	1
40	Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	1
41	Acinetobacter towneri	Anterior_nares	#8000ff	2
44	Actinobacillus pleuropneumoniae	Buccal_mucosa	#1996f3	3
48	Actinobacillus ureae	Buccal_mucosa	#1996f3	5
49	Actinomyces georgiae	Subgingival_plaque	#e4cf74	9
50	Actinomyces gerencseriae	Subgingival_plaque	#e4cf74	14
51	Actinomyces graevenitzii	Tongue_dorsum	#ff0000	19
53	Actinomyces israelii	Subgingival_plaque	#e4cf74	10
54	Actinomyces johnsonii	Subgingival_plaque	#e4cf74	19
57	Actinomyces massiliensis	Supragingival_plaque	#ff964f	25
58	Actinomyces meyeri	Subgingival_plaque	#e4cf74	15
62	Actinomyces naeslundii	Supragingival_plaque	#ff964f	25
64	Actinomyces oris	Supragingival_plaque	#ff964f	25
66	Actinomyces sp. ICM39	Tongue_dorsum	#ff0000	12
68	Actinomyces sp. ICM47	Tongue_dorsum	#ff0000	17
69	Actinomyces sp. ICM54	Tongue_dorsum	#ff0000	9
70	Actinomyces sp. ICM58	Tongue_dorsum	#ff0000	9
73	Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff964f	23
74	Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff964f	26
77	Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff0000	9
79	Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff964f	23
84	Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff964f	6
87	Actinomyces sp. oral taxon 181	Saliva	#7effb5	10
91	Actinomyces sp. oral taxon 414	Subgingival_plaque	#e4cf74	12
98	Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff964f	11
100	Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff964f	8
106	Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff964f	13
113	Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff964f	5
116	Actinomyces sp. ph3	Saliva	#7effb5	10
120	Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff0000	19
124	Actinomyces timonensis	Subgingival_plaque	#e4cf74	12
128	Actinomyces viscosus	Supragingival_plaque	#ff964f	23
130	Adlercreutzia equolifaciens	Stool	#b2f396	6
132	Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#1996f3	21
136	Aggregatibacter aphrophilus	Anterior_nares	#8000ff	28
138	Aggregatibacter segnis	Buccal_mucosa	#1996f3	21
149	Aggregatibacter sp. oral taxon 458	Buccal_mucosa	#1996f3	21
157	Akkermansia muciniphila	Stool	#b2f396	20
159	Alistipes finegoldii	Stool	#b2f396	11
163	Alistipes indistinctus	Stool	#b2f396	8
167	Alistipes inops	Stool	#b2f396	7
170	Alistipes obesi	Stool	#b2f396	11
176	Alistipes onderdonkii	Stool	#b2f396	12
182	Alistipes putredinis	Stool	#b2f396	23
183	Alistipes senegalensis	Stool	#b2f396	11
190	Alistipes shahii	Stool	#b2f396	14
191	Alistipes sp. AL-1	Stool	#b2f396	11
198	Alistipes sp. HGB5	Stool	#b2f396	11
201	Alistipes timonensis	Stool	#b2f396	10
207	Aliterella atlantica	Anterior_nares	#8000ff	1
208	Alloprevotella rava	Saliva	#7effb5	20
213	Alloprevotella tannerae	Subgingival_plaque	#e4cf74	21
215	alpha proteobacterium LLX12A	Anterior_nares	#8000ff	1
216	Alysiella crassa	Attached	#4e4dfc	2
217	Anaerococcus prevotii	Posterior_fornix	#4df3ce	2
218	Anaerococcus sp. PH9	Posterior_fornix	#4df3ce	2
219	Anaerococcus vaginalis	Stool	#b2f396	1
222	Anaerofustis stercorihominis	Stool	#b2f396	1
224	Anaeroglobus geminatus	Saliva	#7effb5	8
229	Anaerostipes hadrus	Stool	#b2f396	7
233	Anaerostipes sp. 3_2_56FAA	Stool	#b2f396	2
234	Anaerotruncus colihominis	Stool	#b2f396	11
237	Arcanobacterium haemolyticum	Supragingival_plaque	#ff964f	1
239	Atopobium parvulum	Saliva	#7effb5	18
247	Atopobium rimae	Saliva	#7effb5	12
252	Atopobium sp. BS2	Saliva	#7effb5	10
258	Atopobium sp. ICM42b	Saliva	#7effb5	11
265	Atopobium sp. oral taxon 199	Saliva	#7effb5	2
267	Atopobium vaginae	Posterior_fornix	#4df3ce	2
268	Avibacterium paragallinarum	Buccal_mucosa	#1996f3	3
273	Azohydromonas australica	Anterior_nares	#8000ff	1
274	Bacillus thermoamylovorans	Anterior_nares	#8000ff	2
278	bacterium LF-3	Stool	#b2f396	10
283	Bacteroidaceae bacterium MS4	Stool	#b2f396	2
285	Bacteroides acidifaciens	Stool	#b2f396	15
290	Bacteroides barnesiae	Stool	#b2f396	8
295	Bacteroides caccae	Stool	#b2f396	19
299	Bacteroides cellulosilyticus	Stool	#b2f396	15
304	Bacteroides clarus	Stool	#b2f396	8
309	Bacteroides coprocola	Stool	#b2f396	18
315	Bacteroides coprophilus	Stool	#b2f396	14
319	Bacteroides coprosuis	Stool	#b2f396	2
327	Bacteroides dorei	Stool	#b2f396	19
334	Bacteroides eggerthii	Stool	#b2f396	13
338	Bacteroides faecichinchillae	Stool	#b2f396	10
345	Bacteroides faecis	Stool	#b2f396	18
352	Bacteroides finegoldii	Stool	#b2f396	19
358	Bacteroides fluxus	Stool	#b2f396	12
360	Bacteroides fragilis	Stool	#b2f396	20
365	Bacteroides gallinarum	Subgingival_plaque	#e4cf74	15
375	Bacteroides graminisolvens	Stool	#b2f396	2
383	Bacteroides helcogenes	Stool	#b2f396	7
390	Bacteroides intestinalis	Stool	#b2f396	17
397	Bacteroides massiliensis	Stool	#b2f396	18
400	Bacteroides nordii	Stool	#b2f396	9
405	Bacteroides oleiciplenus	Stool	#b2f396	12
413	Bacteroides ovatus	Stool	#b2f396	20
418	Bacteroides paurosaccharolyticus	Buccal_mucosa	#1996f3	3
419	Bacteroides plebeius	Stool	#b2f396	8
420	Bacteroides pyogenes	Stool	#b2f396	8
423	Bacteroides reticulotermitis	Stool	#b2f396	3
429	Bacteroides salanitronis	Stool	#b2f396	12
435	Bacteroides salyersiae	Stool	#b2f396	6
442	Bacteroides sartorii	Stool	#b2f396	13
449	Bacteroides sp. 1_1_30	Stool	#b2f396	10
455	Bacteroides sp. 1_1_6	Stool	#b2f396	15
465	Bacteroides sp. 14(A)	Stool	#b2f396	10
467	Bacteroides sp. 2_1_33B	Stool	#b2f396	10
478	Bacteroides sp. 2_1_56FAA	Stool	#b2f396	1
482	Bacteroides sp. 3_1_13	Stool	#b2f396	13
495	Bacteroides sp. 3_1_19	Stool	#b2f396	11
505	Bacteroides sp. 3_1_33FAA	Stool	#b2f396	14
516	Bacteroides sp. 3_1_40A	Stool	#b2f396	12
523	Bacteroides sp. 4_1_36	Stool	#b2f396	9
529	Bacteroides sp. 4_3_47FAA	Stool	#b2f396	12
542	Bacteroides sp. 9_1_42FAA	Stool	#b2f396	14
554	Bacteroides sp. D2	Stool	#b2f396	13
562	Bacteroides sp. D20	Stool	#b2f396	10
576	Bacteroides sp. D22	Stool	#b2f396	11
577	Bacteroides sp. HPS0048	Stool	#b2f396	6
584	Bacteroides stercorirosoris	Stool	#b2f396	13
592	Bacteroides stercoris	Stool	#b2f396	14
596	Bacteroides thetaiotaomicron	Stool	#b2f396	17
603	Bacteroides uniformis	Stool	#b2f396	21
619	Bacteroides vulgatus	Stool	#b2f396	19
637	Bacteroides xylanisolvens	Stool	#b2f396	11
641	Bacteroidetes oral taxon 274	Subgingival_plaque	#e4cf74	22
651	Barnesiella intestinihominis	Stool	#b2f396	8
655	Barnesiella viscericola	Stool	#b2f396	7
664	Bibersteinia trehalosi	Buccal_mucosa	#1996f3	2
670	Bifidobacterium adolescentis	Stool	#b2f396	13
675	Bifidobacterium bifidum	Anterior_nares	#8000ff	2
678	Bifidobacterium breve	Stool	#b2f396	1
682	Bifidobacterium kashiwanohense	Stool	#b2f396	1
686	Bifidobacterium longum	Stool	#b2f396	14
693	Bifidobacterium pseudocatenulatum	Stool	#b2f396	3
694	Bifidobacterium ruminantium	Stool	#b2f396	1
698	Bifidobacterium saeculare	Stool	#b2f396	1
701	Bilophila sp. 4_1_30	Stool	#b2f396	6
710	Bilophila wadsworthia	Stool	#b2f396	10
723	Blautia hansenii	Stool	#b2f396	1
727	Blautia hydrogenotrophica	Stool	#b2f396	3
734	Blautia obeum	Stool	#b2f396	14
741	Blautia producta	Stool	#b2f396	8
746	Blautia schinkii	Stool	#b2f396	2
750	Blautia sp. GD9	Stool	#b2f396	9
761	Blautia sp. KLE 1732	Stool	#b2f396	11
772	Blautia wexlerae	Stool	#b2f396	16
779	Brochothrix thermosphacta	Saliva	#7effb5	3
783	Burkholderiales bacterium 1_1_47	Stool	#b2f396	10
794	Butyricicoccus pullicaecorum	Stool	#b2f396	10
802	Butyricimonas synergistica	Stool	#b2f396	7
822	Butyricimonas virosa	Stool	#b2f396	9
827	Butyrivibrio sp. NC3005	Stool	#b2f396	2
832	Calothrix sp. PCC 7103	Anterior_nares	#8000ff	2
834	Campylobacter concisus	Saliva	#7effb5	27
846	Campylobacter curvus	Supragingival_plaque	#ff964f	5
847	Campylobacter fetus	Attached	#4e4dfc	2
849	Campylobacter gracilis	Subgingival_plaque	#e4cf74	24
853	Campylobacter hominis	Attached	#4e4dfc	5
856	Campylobacter mucosalis	Attached	#4e4dfc	2
859	Campylobacter rectus	Subgingival_plaque	#e4cf74	19
860	Campylobacter showae	Supragingival_plaque	#ff964f	27
864	Campylobacter sp. 10_1_50	Saliva	#7effb5	9
867	Campylobacter sp. FOBRC14	Attached	#4e4dfc	2
871	candidate division SR1 bacterium RAAC1_SR1_1	Tongue_dorsum	#ff0000	2
873	Candidatus Alistipes marseilloanorexicus	Stool	#b2f396	11
883	Candidatus Bacteroides timonensis	Stool	#b2f396	10
888	Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Saliva	#7effb5	1
891	Candidatus Saccharibacteria oral taxon TM7x	Saliva	#7effb5	25
900	Capnocytophaga cynodegmi	Supragingival_plaque	#ff964f	4
902	Capnocytophaga gingivalis	Supragingival_plaque	#ff964f	27
908	Capnocytophaga granulosa	Supragingival_plaque	#ff964f	14
915	Capnocytophaga ochracea	Supragingival_plaque	#ff964f	13
920	Capnocytophaga sp. CM59	Supragingival_plaque	#ff964f	16
929	Capnocytophaga sp. oral taxon 323	Supragingival_plaque	#ff964f	10
938	Capnocytophaga sp. oral taxon 324	Supragingival_plaque	#ff964f	10
949	Capnocytophaga sp. oral taxon 326	Supragingival_plaque	#ff964f	25
957	Capnocytophaga sp. oral taxon 329	Supragingival_plaque	#ff964f	26
967	Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff964f	24
971	Capnocytophaga sp. oral taxon 335	Supragingival_plaque	#ff964f	8
974	Capnocytophaga sp. oral taxon 336	Supragingival_plaque	#ff964f	12
986	Capnocytophaga sp. oral taxon 338	Subgingival_plaque	#e4cf74	23
998	Capnocytophaga sp. oral taxon 380	Supragingival_plaque	#ff964f	12
1020	Capnocytophaga sp. oral taxon 412	Subgingival_plaque	#e4cf74	11
1030	Capnocytophaga sp. oral taxon 863	Supragingival_plaque	#ff964f	21
1042	Capnocytophaga sputigena	Supragingival_plaque	#ff964f	28
1046	Cardiobacterium hominis	Subgingival_plaque	#e4cf74	13
1061	Cardiobacterium valvarum	Subgingival_plaque	#e4cf74	16
1067	Carnobacterium divergens	Saliva	#7effb5	2
1068	Carnobacterium maltaromaticum	Tongue_dorsum	#ff0000	20
1072	Catabacter hongkongensis	Stool	#b2f396	1
1075	Catonella morbi	Subgingival_plaque	#e4cf74	23
1082	Cellulomonas carbonis	Stool	#b2f396	2
1084	Cellulomonas flavigena	Throat	#ff5029	3
1087	Centipeda periodontii	Subgingival_plaque	#e4cf74	15
1094	Chlamydia trachomatis	Attached	#4e4dfc	8
1096	Clostridia bacterium UC5.1-1D1	Stool	#b2f396	10
1111	Clostridia bacterium UC5.1-1D10	Stool	#b2f396	7
1116	Clostridia bacterium UC5.1-1E11	Stool	#b2f396	9
1129	Clostridia bacterium UC5.1-2F7	Stool	#b2f396	12
1151	Clostridia bacterium UC5.1-2H11	Stool	#b2f396	2
1157	Clostridiaceae bacterium MS3	Stool	#b2f396	3
1162	Clostridiales bacterium 1_7_47FAA	Stool	#b2f396	1
1167	Clostridiales bacterium NK3B98	Stool	#b2f396	1
1172	Clostridiales bacterium VE202-01	Stool	#b2f396	6
1179	Clostridiales bacterium VE202-03	Stool	#b2f396	15
1183	Clostridiales bacterium VE202-13	Stool	#b2f396	4
1202	Clostridiales bacterium VE202-14	Stool	#b2f396	1
1206	Clostridiales bacterium VE202-15	Stool	#b2f396	1
1212	Clostridiales bacterium VE202-16	Stool	#b2f396	5
1222	Clostridiales bacterium VE202-21	Stool	#b2f396	11
1233	Clostridiales bacterium VE202-27	Stool	#b2f396	10
1241	Clostridiales bacterium VE202-28	Stool	#b2f396	2
1248	Clostridium botulinum	Stool	#b2f396	1
1255	Clostridium perfringens	Stool	#b2f396	2
1263	Clostridium sartagoforme	Stool	#b2f396	1
1270	Clostridium sp. 7_2_43FAA	Stool	#b2f396	1
1277	Clostridium sp. 7_3_54FAA	Stool	#b2f396	9
1291	Clostridium sp. ASF502	Stool	#b2f396	2
1304	Clostridium sp. ATCC 29733	Stool	#b2f396	11
1316	Clostridium sp. ATCC BAA-442	Stool	#b2f396	16
1336	Clostridium sp. C8	Stool	#b2f396	1
1343	Clostridium sp. FS41	Stool	#b2f396	1
1347	Clostridium sp. GD3	Stool	#b2f396	15
1356	Clostridium sp. HGF2	Stool	#b2f396	3
1368	Clostridium sp. KLE 1755	Stool	#b2f396	2
1372	Clostridium sp. KNHs214	Stool	#b2f396	1
1376	Clostridium sp. L2-50	Stool	#b2f396	11
1381	Clostridium sp. M62/1	Stool	#b2f396	13
1405	Clostridium sp. ND2	Posterior_fornix	#4df3ce	2
1407	Clostridium sp. SS2/1	Stool	#b2f396	3
1413	Collinsella aerofaciens	Stool	#b2f396	10
1419	Collinsella intestinalis	Stool	#b2f396	1
1422	Collinsella sp. 4_8_47FAA	Stool	#b2f396	9
1435	Collinsella stercoris	Stool	#b2f396	1
1439	Collinsella tanakaei	Stool	#b2f396	1
1442	Comamonas aquatica	Buccal_mucosa	#1996f3	1
1443	Comamonas testosteroni	Mid_vagina	#18cde4	2
1446	Conchiformibius kuhniae	Throat	#ff5029	1
1448	Conchiformibius steedae	Throat	#ff5029	1
1450	Coprobacillus sp. 3_3_56FAA	Stool	#b2f396	1
1452	Coprobacillus sp. 8_1_38FAA	Stool	#b2f396	5
1461	Coprobacter fastidiosus	Stool	#b2f396	2
1463	Coprobacter secundus	Stool	#b2f396	4
1477	Coprococcus comes	Stool	#b2f396	12
1487	Coprococcus eutactus	Stool	#b2f396	12
1504	Coprococcus sp. HPP0048	Stool	#b2f396	3
1510	Coprococcus sp. HPP0074	Stool	#b2f396	1
1515	Corynebacterium accolens	Anterior_nares	#8000ff	8
1517	Corynebacterium ammoniagenes	Anterior_nares	#8000ff	3
1520	Corynebacterium argentoratense	Saliva	#7effb5	3
1527	Corynebacterium aurimucosum	Anterior_nares	#8000ff	6
1529	Corynebacterium camporealensis	Anterior_nares	#8000ff	1
1530	Corynebacterium diphtheriae	Anterior_nares	#8000ff	8
1532	Corynebacterium durum	Supragingival_plaque	#ff964f	31
1540	Corynebacterium jeikeium	Anterior_nares	#8000ff	5
1541	Corynebacterium kroppenstedtii	Anterior_nares	#8000ff	2
1542	Corynebacterium matruchotii	Supragingival_plaque	#ff964f	28
1545	Corynebacterium minutissimum	Anterior_nares	#8000ff	2
1548	Corynebacterium propinquum	Anterior_nares	#8000ff	4
1549	Corynebacterium pseudodiphtheriticum	Anterior_nares	#8000ff	4
1551	Corynebacterium pseudogenitalium	Anterior_nares	#8000ff	4
1552	Corynebacterium sp. GD7	Anterior_nares	#8000ff	1
1553	Corynebacterium sp. KPL1818	Anterior_nares	#8000ff	8
1559	Corynebacterium sp. KPL1824	Anterior_nares	#8000ff	6
1563	Corynebacterium tuberculostearicum	Anterior_nares	#8000ff	4
1564	Crocosphaera watsonii	Anterior_nares	#8000ff	1
1565	Cryptobacterium curtum	Supragingival_plaque	#ff964f	3
1566	Cupriavidus basilensis	Mid_vagina	#18cde4	3
1578	Cupriavidus metallidurans	Stool	#b2f396	2
1590	Dechloromonas agitata	Buccal_mucosa	#1996f3	2
1594	Dehalobacter sp. FTH1	Buccal_mucosa	#1996f3	2
1600	Delftia sp. Cs1-4	Anterior_nares	#8000ff	1
1601	Desulfotomaculum nigrificans	Stool	#b2f396	1
1608	Desulfovibrio desulfuricans	Stool	#b2f396	3
1616	Desulfovibrio piger	Stool	#b2f396	1
1623	Dialister invisus	Stool	#b2f396	35
1624	Dialister succinatiphilus	Stool	#b2f396	1
1625	Dielma fastidiosa	Stool	#b2f396	5
1629	Dolosigranulum pigrum	Anterior_nares	#8000ff	5
1638	Dorea formicigenerans	Stool	#b2f396	13
1669	Dorea longicatena	Stool	#b2f396	14
1677	Dorea sp. AGR2135	Stool	#b2f396	6
1682	Echinicola pacifica	Buccal_mucosa	#1996f3	2
1689	Eggerthella sp. YY7918	Stool	#b2f396	1
1693	Eggerthia catenaformis	Throat	#ff5029	1
1694	Eikenella corrodens	Subgingival_plaque	#e4cf74	16
1702	Elizabethkingia anophelis	Buccal_mucosa	#1996f3	1
1703	Enhydrobacter aerosaccus	Posterior_fornix	#4df3ce	2
1709	Enterococcus cecorum	Buccal_mucosa	#1996f3	2
1717	Enterococcus faecalis	Stool	#b2f396	4
1726	Enterococcus faecium	Stool	#b2f396	3
1754	Enterorhabdus mucosicola	Stool	#b2f396	1
1755	Erysipelotrichaceae bacterium 2_2_44A	Stool	#b2f396	3
1776	Erysipelotrichaceae bacterium 21_3	Stool	#b2f396	3
1802	Erysipelotrichaceae bacterium 3_1_53	Stool	#b2f396	3
1806	Erysipelotrichaceae bacterium 5_2_54FAA	Stool	#b2f396	1
1811	Erysipelotrichaceae bacterium 6_1_45	Stool	#b2f396	8
1833	Escherichia coli	Stool	#b2f396	6
1834	Eubacterium brachy	Subgingival_plaque	#e4cf74	21
1845	Eubacterium desmolans	Stool	#b2f396	3
1863	Eubacterium limosum	Stool	#b2f396	2
1878	Eubacterium plexicaudatum	Stool	#b2f396	1
1887	Eubacterium ramulus	Stool	#b2f396	14
1901	Eubacterium saphenum	Supragingival_plaque	#ff964f	1
1906	Eubacterium sp. 3_1_31	Anterior_nares	#8000ff	4
1918	Eubacterium sp. AB3007	Stool	#b2f396	1
1921	Eubacterium sp. ER2	Stool	#b2f396	3
1952	Eubacterium sp. SB2	Stool	#b2f396	1
1962	Eubacterium ventriosum	Stool	#b2f396	13
1965	Eubacterium xylanophilum	Throat	#ff5029	1
1967	Exiguobacterium marinum	Anterior_nares	#8000ff	1
1969	Exiguobacterium sp. S17	Posterior_fornix	#4df3ce	1
1970	Facklamia hominis	Anterior_nares	#8000ff	2
1974	Facklamia ignava	Posterior_fornix	#4df3ce	1
1975	Faecalibacterium prausnitzii	Stool	#b2f396	28
1992	Faecalicoccus pleomorphus	Stool	#b2f396	1
1998	Faecalitalea cylindroides	Stool	#b2f396	3
2006	Fenollaria massiliensis	Posterior_fornix	#4df3ce	1
2007	Filifactor alocis	Throat	#ff5029	10
2009	Finegoldia magna	Anterior_nares	#8000ff	13
2012	Firmicutes bacterium ASF500	Stool	#b2f396	7
2029	Flavobacterium saliperosum	Throat	#ff5029	1
2031	Flavonifractor plautii	Stool	#b2f396	15
2054	Fusobacterium hwasookii	Supragingival_plaque	#ff964f	20
2070	Fusobacterium necrophorum	Throat	#ff5029	2
2074	Fusobacterium nucleatum	Throat	#ff5029	25
2091	Fusobacterium periodonticum	Tongue_dorsum	#ff0000	24
2094	Fusobacterium sp. CM21	Throat	#ff5029	4
2100	Fusobacterium sp. OBRC1	Supragingival_plaque	#ff964f	9
2101	Fusobacterium sp. oral taxon 370	Tongue_dorsum	#ff0000	10
2109	Fusobacterium ulcerans	Stool	#b2f396	1
2114	Gallibacterium anatis	Attached	#4e4dfc	5
2117	Gallibacterium genomosp. 1	Buccal_mucosa	#1996f3	2
2126	Gardnerella vaginalis	Posterior_fornix	#4df3ce	12
2130	Gemella bergeri	Attached	#4e4dfc	6
2132	Gemella cuniculi	Attached	#4e4dfc	6
2134	Gemella haemolysans	Buccal_mucosa	#1996f3	29
2139	Gemella morbillorum	Supragingival_plaque	#ff964f	26
2154	Gemella sanguinis	Tongue_dorsum	#ff0000	21
2157	Gordonibacter pamelaeae	Stool	#b2f396	6
2171	Granulicatella adiacens	Mixed	#cccccc	24
2176	Granulicatella elegans	Attached	#4e4dfc	20
2177	Gulbenkiania mobilis	Anterior_nares	#8000ff	1
2179	Haemophilus haemolyticus	Attached	#4e4dfc	24
2194	Haemophilus influenzae	Buccal_mucosa	#1996f3	30
2209	Haemophilus parahaemolyticus	Buccal_mucosa	#1996f3	22
2223	Haemophilus parainfluenzae	Tongue_dorsum	#ff0000	35
2230	Haemophilus paraphrohaemolyticus	Buccal_mucosa	#1996f3	14
2243	Haemophilus sp. C1	Buccal_mucosa	#1996f3	9
2247	Haemophilus sp. oral taxon 851	Attached	#4e4dfc	8
2255	Haemophilus sputorum	Buccal_mucosa	#1996f3	18
2261	Hallella seregens	Stool	#b2f396	1
2262	Helicobacter suis	Anterior_nares	#8000ff	1
2264	Herbaspirillum huttiense	Mid_vagina	#18cde4	3
2270	Herbaspirillum sp. B39	Mid_vagina	#18cde4	2
2277	Histophilus somni	Buccal_mucosa	#1996f3	4
2279	Holdemanella biformis	Stool	#b2f396	5
2312	Holdemania filiformis	Stool	#b2f396	11
2334	Holdemania massiliensis	Stool	#b2f396	4
2341	Hungatella hathewayi	Stool	#b2f396	15
2366	Intestinimonas butyriciproducens	Stool	#b2f396	15
2375	Intestinimonas sp. GD2	Stool	#b2f396	14
2411	Isoptericola variabilis	Tongue_dorsum	#ff0000	10
2419	Janibacter hoylei	Throat	#ff5029	1
2421	Johnsonella ignava	Subgingival_plaque	#e4cf74	14
2425	Kandleria vitulina	Stool	#b2f396	1
2426	Kingella denitrificans	Supragingival_plaque	#ff964f	19
2433	Kingella kingae	Attached	#4e4dfc	12
2446	Kingella oralis	Supragingival_plaque	#ff964f	26
2457	Kingella sp. Sch538	Attached	#4e4dfc	2
2465	Klebsiella oxytoca	Anterior_nares	#8000ff	1
2474	Kocuria kristinae	Anterior_nares	#8000ff	2
2479	Kocuria rhizophila	Anterior_nares	#8000ff	2
2482	Kytococcus sedentarius	Saliva	#7effb5	10
2489	Lachnoanaerobaculum saburreum	Tongue_dorsum	#ff0000	25
2501	Lachnoanaerobaculum sp. ICM7	Tongue_dorsum	#ff0000	14
2509	Lachnoanaerobaculum sp. MSX33	Tongue_dorsum	#ff0000	13
2511	Lachnoanaerobaculum sp. OBRC5-5	Tongue_dorsum	#ff0000	10
2518	Lachnospira multipara	Stool	#b2f396	3
2536	Lachnospiraceae bacterium 1_4_56FAA	Stool	#b2f396	3
2547	Lachnospiraceae bacterium 2_1_46FAA	Stool	#b2f396	1
2553	Lachnospiraceae bacterium 2_1_58FAA	Stool	#b2f396	2
2557	Lachnospiraceae bacterium 3_1_46FAA	Stool	#b2f396	10
2563	Lachnospiraceae bacterium 3_1_57FAA_CT1	Stool	#b2f396	2
