	source	source_freq	source_type	target_type	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
314	Herbaspirillum	3	Mid_vagina	Mid_vagina	#18cde4	0.0	6.0	#8000ff	#ff703a
318	Histophilus	4	Buccal_mucosa	Attached	#1996f3	7.0	4.0	#ff0000	#a2f9a0
320	Holdemanella	5	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
323	Anaerofustis	1	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
325	Desulfotomaculum	1	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
327	Desulfovibrio	4	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
328	Holdemania	12	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
350	Hungatella	15	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
366	Intestinimonas	16	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
368	Isoptericola	11	Tongue_dorsum	Supragingival_plaque	#ff0000	5.0	0.0	#ecc86f	#8000ff
372	Janibacter	1	Throat	Throat	#ff5029	3.0	5.0	#5af8c8	#ecc86f
374	Johnsonella	14	Subgingival_plaque	Subgingival_plaque	#e4cf74	5.0	0.0	#ecc86f	#8000ff
376	Kandleria	1	Stool	Stool	#b2f396	6.0	2.0	#ff703a	#10c6e6
378	Kingella	27	Supragingival_plaque	Buccal_mucosa	#ff964f	5.0	0.0	#ecc86f	#8000ff
388	Kocuria	3	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
391	Aureimonas	1	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
393	Crocosphaera	1	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
397	Facklamia	2	Posterior_fornix	Anterior_nares	#4df3ce	2.0	3.0	#10c6e6	#5af8c8
399	Gulbenkiania	1	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
401	Helicobacter	1	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
402	Kytococcus	12	Tongue_dorsum	Supragingival_plaque	#ff0000	5.0	0.0	#ecc86f	#8000ff
404	Lachnoanaerobaculum	29	Tongue_dorsum	Supragingival_plaque	#ff0000	5.0	0.0	#ecc86f	#8000ff
408	Lachnoclostridium	17	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
416	Lachnospira	3	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
422	Lactococcus	15	Anterior_nares	Stool	#8000ff	6.0	1.0	#ff703a	#386df9
424	Lautropia	29	Supragingival_plaque	Subgingival_plaque	#ff964f	5.0	0.0	#ecc86f	#8000ff
426	Lawsonella	7	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
434	Lelliottia	1	Anterior_nares	Anterior_nares	#8000ff	4.0	3.0	#a2f9a0	#5af8c8
435	Acidovorax	11	Anterior_nares	Anterior_nares	#8000ff	4.0	3.0	#a2f9a0	#5af8c8
440	Leptotrichia	27	Supragingival_plaque	Supragingival_plaque	#ff964f	5.0	0.0	#ecc86f	#8000ff
450	Leucobacter	3	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
470	Leuconostoc	3	Saliva	Saliva	#7effb5	5.0	7.0	#ecc86f	#ff0000
474	Levyella	6	Anterior_nares	Anterior_nares	#8000ff	4.0	6.0	#a2f9a0	#ff703a
475	Anaerococcus	11	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
478	Mageeibacillus	2	Posterior_fornix	Posterior_fornix	#4df3ce	5.0	7.0	#ecc86f	#ff0000
480	Mangrovimonas	2	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
496	Mannheimia	9	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
510	Marvinbryantia	5	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
528	Megasphaera	20	Saliva	Throat	#7effb5	5.0	0.0	#ecc86f	#8000ff
529	Bulleidia	5	Throat	Saliva	#ff5029	5.0	7.0	#ecc86f	#ff0000
530	Methylobacterium	2	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
538	Microbacterium	1	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
544	Micrococcus	2	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
554	Microvirga	1	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
556	Mitsuokella	1	Saliva	Throat	#7effb5	5.0	7.0	#ecc86f	#ff0000
560	Mobiluncus	2	Posterior_fornix	Saliva	#4df3ce	5.0	7.0	#ecc86f	#ff0000
566	Modestobacter	1	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
568	Mogibacterium	8	Throat	Saliva	#ff5029	5.0	0.0	#ecc86f	#8000ff
574	Moraxella	5	Anterior_nares	Anterior_nares	#8000ff	5.0	7.0	#ecc86f	#ff0000
575	Finegoldia	12	Anterior_nares	Anterior_nares	#8000ff	5.0	7.0	#ecc86f	#ff0000
576	Moritella	1	Tongue_dorsum	Buccal_mucosa	#ff0000	7.0	4.0	#ff0000	#a2f9a0
580	Morococcus	9	Buccal_mucosa	Supragingival_plaque	#1996f3	5.0	0.0	#ecc86f	#8000ff
582	Mycobacterium	9	Mid_vagina	Anterior_nares	#18cde4	1.0	6.0	#386df9	#ff703a
594	Necropsobacter	3	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
614	Nocardia	3	Mid_vagina	Posterior_fornix	#18cde4	0.0	6.0	#8000ff	#ff703a
