	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
78	Rothia	Prevotella	0.000537489922064	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
79	Prevotella	Rothia	0.000537489922064	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
80	Ruminiclostridium	Clostridium	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
81	Clostridium	Ruminiclostridium	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
82	Ruminiclostridium	Faecalibacterium	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
83	Faecalibacterium	Ruminiclostridium	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
84	Ruminiclostridium	Roseburia	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
85	Roseburia	Ruminiclostridium	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
86	Ruminococcus	Bacteroides	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
87	Bacteroides	Ruminococcus	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
88	Ruminococcus	Faecalibacterium	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
89	Faecalibacterium	Ruminococcus	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
90	Ruminococcus	Roseburia	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
91	Roseburia	Ruminococcus	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
92	Staphylococcus	Corynebacterium	0.000268744961032	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
93	Corynebacterium	Staphylococcus	0.000268744961032	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
94	Staphylococcus	Propionibacterium	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
95	Propionibacterium	Staphylococcus	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
96	Streptococcus	Actinomyces	0.000537489922064	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
97	Actinomyces	Streptococcus	0.000537489922064	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
98	Streptococcus	Alloprevotella	0.00107497984413	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
99	Alloprevotella	Streptococcus	0.00107497984413	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
100	Streptococcus	Capnocytophaga	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
101	Capnocytophaga	Streptococcus	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
102	Streptococcus	Corynebacterium	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
103	Corynebacterium	Streptococcus	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
104	Streptococcus	Gemella	0.000537489922064	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
105	Gemella	Streptococcus	0.000537489922064	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
106	Streptococcus	Haemophilus	0.000806234883096	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
107	Haemophilus	Streptococcus	0.000806234883096	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
108	Streptococcus	Neisseria	0.000537489922064	Buccal_mucosa	Throat	Intertype	#1996f3	#ff5029	#cccccc
109	Neisseria	Streptococcus	0.000537489922064	Throat	Buccal_mucosa	Intertype	#ff5029	#1996f3	#cccccc
110	Streptococcus	Rothia	0.000806234883096	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
111	Rothia	Streptococcus	0.000806234883096	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
112	Treponema	Actinomyces	0.000268744961032	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc
113	Actinomyces	Treponema	0.000268744961032	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc
114	Treponema	Alloprevotella	0.000268744961032	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc
115	Alloprevotella	Treponema	0.000268744961032	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc
116	Treponema	Corynebacterium	0.000537489922064	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc
117	Corynebacterium	Treponema	0.000537489922064	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc
118	Treponema	Prevotella	0.000537489922064	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc
119	Prevotella	Treponema	0.000537489922064	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc
120	Treponema	Rothia	0.000268744961032	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc
121	Rothia	Treponema	0.000268744961032	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc
122	Veillonella	Alloprevotella	0.000537489922064	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
123	Alloprevotella	Veillonella	0.000537489922064	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
124	Veillonella	Haemophilus	0.000268744961032	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
125	Haemophilus	Veillonella	0.000268744961032	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
126	Veillonella	Neisseria	0.000537489922064	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc
127	Neisseria	Veillonella	0.000537489922064	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc
128	Veillonella	Oribacterium	0.000268744961032	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000
129	Oribacterium	Veillonella	0.000268744961032	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000
130	Veillonella	Prevotella	0.000806234883096	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000
131	Prevotella	Veillonella	0.000806234883096	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000
132	Veillonella	Rothia	0.000268744961032	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
133	Rothia	Veillonella	0.000268744961032	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
134	Veillonella	Streptococcus	0.000537489922064	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
135	Streptococcus	Veillonella	0.000537489922064	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
