source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Microbacteriaceae	102	Microbacteriaceae	Helicobacteraceae	1.0	4	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	7.0	7.0	#5efac6	#ffa558
Helicobacteraceae	103	Helicobacteraceae	Microbacteriaceae	1.0	1	4	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	7.0	7.0	#5efac6	#ffa558
Micrococcaceae	104	Micrococcaceae	Aerococcaceae	4.0	40	33	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc	61	10.0	6.0	#beec8e	#d4dd80
Aerococcaceae	105	Aerococcaceae	Micrococcaceae	4.0	33	40	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc	61	5.0	2.0	#1fd3e1	#10a2f0
Micrococcaceae	106	Micrococcaceae	Atopobiaceae	5.0	40	24	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc	61	10.0	6.0	#beec8e	#d4dd80
Atopobiaceae	107	Atopobiaceae	Micrococcaceae	5.0	24	40	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc	61	16.0	6.0	#ff0000	#d4dd80
Micrococcaceae	108	Micrococcaceae	Cellulomonadaceae	4.0	40	6	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	61	10.0	6.0	#beec8e	#d4dd80
Cellulomonadaceae	109	Cellulomonadaceae	Micrococcaceae	4.0	6	40	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	61	10.0	2.0	#beec8e	#10a2f0
Micrococcaceae	110	Micrococcaceae	Erysipelotrichaceae	5.0	40	41	Buccal_mucosa	Throat	Intertype	#1996f3	#ff5029	#cccccc	61	10.0	6.0	#beec8e	#d4dd80
Erysipelotrichaceae	111	Erysipelotrichaceae	Micrococcaceae	5.0	41	40	Throat	Buccal_mucosa	Intertype	#ff5029	#1996f3	#cccccc	61	11.0	6.0	#ded579	#d4dd80
Micrococcaceae	112	Micrococcaceae	Leptotrichiaceae	8.0	40	31	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	61	10.0	6.0	#beec8e	#d4dd80
Leptotrichiaceae	113	Leptotrichiaceae	Micrococcaceae	8.0	31	40	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61	11.0	1.0	#ded579	#4856fb
