	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
74	Capnocytophaga sp. oral taxon 336	Capnocytophaga sp. oral taxon 323	5.0	7	7	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
75	Capnocytophaga sp. oral taxon 323	Capnocytophaga sp. oral taxon 336	5.0	7	7	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
76	Capnocytophaga sp. oral taxon 338	Actinomyces massiliensis	5.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
77	Actinomyces massiliensis	Capnocytophaga sp. oral taxon 338	5.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
78	Capnocytophaga sp. oral taxon 380	Actinomyces johnsonii	5.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
79	Actinomyces johnsonii	Capnocytophaga sp. oral taxon 380	5.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
80	Capnocytophaga sp. oral taxon 380	Actinomyces massiliensis	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
81	Actinomyces massiliensis	Capnocytophaga sp. oral taxon 380	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
82	Capnocytophaga sp. oral taxon 380	Actinomyces sp. oral taxon 849	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
83	Actinomyces sp. oral taxon 849	Capnocytophaga sp. oral taxon 380	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
84	Capnocytophaga sp. oral taxon 380	Campylobacter gracilis	6.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
85	Campylobacter gracilis	Capnocytophaga sp. oral taxon 380	6.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
86	Capnocytophaga sp. oral taxon 380	Capnocytophaga sp. oral taxon 323	7.0	8	7	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
87	Capnocytophaga sp. oral taxon 323	Capnocytophaga sp. oral taxon 380	7.0	7	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
88	Capnocytophaga sp. oral taxon 380	Capnocytophaga sp. oral taxon 324	5.0	8	6	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
89	Capnocytophaga sp. oral taxon 324	Capnocytophaga sp. oral taxon 380	5.0	6	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
90	Capnocytophaga sp. oral taxon 380	Capnocytophaga sp. oral taxon 336	5.0	8	7	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
91	Capnocytophaga sp. oral taxon 336	Capnocytophaga sp. oral taxon 380	5.0	7	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
92	Capnocytophaga sp. oral taxon 412	Actinobaculum sp. oral taxon 183	5.0	7	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
93	Actinobaculum sp. oral taxon 183	Capnocytophaga sp. oral taxon 412	5.0	8	7	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
94	Cardiobacterium hominis	Capnocytophaga sp. oral taxon 326	6.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
95	Capnocytophaga sp. oral taxon 326	Cardiobacterium hominis	6.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
96	Cardiobacterium valvarum	Atopobium parvulum	3.0	8	3	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	8
97	Atopobium parvulum	Cardiobacterium valvarum	3.0	3	8	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	8
98	Carnobacterium maltaromaticum	Actinomyces dentalis	3.0	4	6	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	8
