	source	target	weight	edge_sample	edcolor
900	Sanguibacter	Gemella	4.0	Intertype	#cccccc
901	Gemella	Sanguibacter	4.0	Intertype	#cccccc
902	Sanguibacter	Megasphaera	3.0	Saliva	#7effb5
903	Megasphaera	Sanguibacter	3.0	Saliva	#7effb5
904	Sanguibacter	Mogibacterium	4.0	Intertype	#cccccc
905	Mogibacterium	Sanguibacter	4.0	Intertype	#cccccc
906	Sanguibacter	Oribacterium	3.0	Saliva	#7effb5
907	Oribacterium	Sanguibacter	3.0	Saliva	#7effb5
908	Sanguibacter	Psychrobacter	2.0	Saliva	#7effb5
909	Psychrobacter	Sanguibacter	2.0	Saliva	#7effb5
910	Scardovia	Actinobacillus	2.0	Intertype	#cccccc
911	Actinobacillus	Scardovia	2.0	Intertype	#cccccc
912	Scardovia	Oribacterium	2.0	Intertype	#cccccc
913	Oribacterium	Scardovia	2.0	Intertype	#cccccc
914	Selenomonas	Actinomyces	6.0	Intertype	#cccccc
915	Actinomyces	Selenomonas	6.0	Intertype	#cccccc
916	Selenomonas	Capnocytophaga	5.0	Intertype	#cccccc
917	Capnocytophaga	Selenomonas	5.0	Intertype	#cccccc
918	Selenomonas	Cardiobacterium	5.0	Intertype	#cccccc
919	Cardiobacterium	Selenomonas	5.0	Intertype	#cccccc
920	Selenomonas	Corynebacterium	7.0	Intertype	#cccccc
921	Corynebacterium	Selenomonas	7.0	Intertype	#cccccc
922	Selenomonas	Mycoplasma	4.0	Intertype	#cccccc
923	Mycoplasma	Selenomonas	4.0	Intertype	#cccccc
924	Senegalimassilia	Alistipes	2.0	Stool	#b2f396
925	Alistipes	Senegalimassilia	2.0	Stool	#b2f396
926	Senegalimassilia	Butyricimonas	2.0	Stool	#b2f396
927	Butyricimonas	Senegalimassilia	2.0	Stool	#b2f396
928	Senegalimassilia	Odoribacter	2.0	Stool	#b2f396
929	Odoribacter	Senegalimassilia	2.0	Stool	#b2f396
930	Serratia	Oribacterium	2.0	Saliva	#7effb5
931	Oribacterium	Serratia	2.0	Saliva	#7effb5
932	Serratia	Psychrobacter	2.0	Saliva	#7effb5
933	Psychrobacter	Serratia	2.0	Saliva	#7effb5
934	Simonsiella	Chryseobacterium	2.0	Attached	#4e4dfc
935	Chryseobacterium	Simonsiella	2.0	Attached	#4e4dfc
936	Sinorhizobium	Coprobacillus	2.0	Stool	#b2f396
937	Coprobacillus	Sinorhizobium	2.0	Stool	#b2f396
