TAXA	Abiotrophia	Actinobaculum	Actinomyces	Aggregatibacter	Alloprevotella	Anaeroglobus	Arcanobacterium	Atopobium	Bacteroides	Bergeyella	Bulleidia	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chryseobacterium	Corynebacterium	Cryptobacterium	Dialister	Eikenella	Eubacterium	Filifactor	Fusobacterium	Gemella	Granulicatella	Haemophilus	Johnsonella	Kingella	Kytococcus	Lachnoanaerobaculum	Lautropia	Leptotrichia	Megasphaera	Morococcus	Mycoplasma	Neisseria	Olsenella	Oribacterium	Ottowia	Paraprevotella	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Pseudomonas	Pseudoramibacter	Riemerella	Rothia	Sanguibacter	Scardovia	Selenomonas	Shuttleworthia	Solobacterium	Staphylococcus	Stomatobaculum	Streptococcus	Tannerella	Thauera	Treponema	Veillonella
Kingella	2.0	2.0	1.0	1.0	3.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	1.0	3.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	3.0
Kytococcus	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
Lachnoanaerobaculum	1.0	2.0	0.0	0.0	3.0	2.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	3.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	3.0	0.0	3.0	5.0	0.0	2.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	3.0	3.0
Lautropia	5.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	3.0	2.0	3.0	2.0	1.0	0.0	1.0	2.0	0.0	0.0	3.0	0.0	2.0	1.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	1.0	3.0	1.0	3.0	0.0	1.0	0.0	1.0	2.0	1.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0
Leptotrichia	1.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	4.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	4.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	2.0	1.0	1.0	3.0	0.0	0.0	1.0	3.0	0.0	4.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0
Megasphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Morococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	2.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Neisseria	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0
Olsenella	0.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	0.0	1.0	1.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0
