	Gender	Name
SRR061552	Female	unk
SRR061559	Female	unk
SRR061560	Female	unk
SRR061561	Female	unk
SRR061578	Female	unk
SRR061591	Female	unk
SRR061593	Female	unk
SRR061594	Female	unk
SRR061595	Female	unk
SRR061596	Female	unk
SRR061917	Female	unk
SRR061918	Female	unk
SRR062045	Female	unk
SRR062046	Female	unk
SRR062057	Female	unk
SRR062072	Female	unk
SRR062073	Female	unk
SRR062074	Female	unk
SRR062075	Female	unk
SRR062096	Female	unk
SRR062097	Female	unk
SRR062100	Female	unk
SRR062287	Female	unk
SRR062288	Female	unk
SRR062335	Female	unk
SRR062340	Female	unk
SRR062364	Female	unk
SRR062365	Female	unk
SRR062434	Female	unk
SRR062483	Female	unk
SRR062521	Female	unk
SRR062531	Female	unk
SRR062532	Female	unk
SRR062534	Female	unk
SRR062535	Female	unk
SRR063486	Female	unk
SRR063487	Female	unk
SRR063489	Female	unk
SRR063493	Female	unk
SRR063749	Female	unk
SRR063911	Female	unk
SRR063924	Female	unk
SRR346652	Female	unk
SRR346658	Female	unk
SRR346685	Female	unk
SRR346709	Female	unk
SRR059458	NA	unk
SRR059459	NA	unk
SRR059472	NA	unk
SRR059495	NA	unk
SRR061361	Female	unk
SRR061369	Female	unk
SRR061376	Female	unk
SRR061415	Female	unk
SRR353625	Female	unk
SRR061277	Male	unk
SRR061288	Male	unk
SRR061309	Male	unk
SRR061336	Male	unk
SRR061351	Male	unk
SRR061393	Male	unk
SRR061398	Male	unk
SRR061401	Male	unk
SRR061405	Male	unk
SRR061423	Male	unk
SRR061430	Male	unk
SRR061466	Male	unk
SRR061469	Male	unk
SRR061921	Male	unk
SRR061922	Male	unk
SRR061925	Male	unk
SRR061926	Male	unk
SRR061927	Male	unk
SRR061928	Male	unk
SRR061995	Male	unk
SRR061996	Male	unk
SRR062005	Male	unk
SRR062006	Male	unk
SRR062015	Male	unk
SRR062016	Male	unk
SRR062090	Male	unk
SRR062091	Male	unk
SRR062437	Male	unk
SRR062438	Male	unk
SRR062442	Male	unk
SRR062492	Male	unk
SRR062513	Male	unk
SRR062514	Male	unk
SRR346702	Male	unk
SRR346713	Male	unk
SRR346715	Male	unk
SRR346716	Male	unk
SRR062371	Female	unk
SRR062372	Female	unk
SRR062389	Female	unk
SRR062413	Female	unk
SRR062396	Male	unk
SRR062402	Male	unk
SRR062415	Male	unk
SRR062435	Male	unk
SRR062441	Male	unk
SRR062462	Male	unk
SRR346673	Male	unk
SRR346681	Male	unk
SRR059344	Female	unk
SRR059345	Female	unk
SRR059346	Female	unk
SRR059347	Female	unk
SRR059352	Female	unk
SRR059353	Female	unk
SRR059407	Female	unk
SRR059413	Female	unk
SRR059420	Female	unk
SRR059460	Female	unk
SRR059461	Female	unk
SRR059818	Female	unk
SRR059854	Female	unk
SRR059855	Female	unk
SRR059886	Female	unk
SRR059887	Female	unk
SRR059952	Female	unk
SRR059953	Female	unk
SRR059984	Female	unk
SRR059985	Female	unk
SRR059990	Female	unk
SRR059991	Female	unk
SRR059992	Female	unk
SRR059993	Female	unk
SRR060000	Female	unk
SRR060001	Female	unk
SRR060003	Female	unk
SRR060006	Female	unk
SRR060021	Female	unk
SRR060025	Female	unk
SRR060026	Female	unk
SRR060035	Female	unk
SRR060039	Female	unk
SRR060137	Female	unk
SRR060138	Female	unk
SRR060368	Female	unk
SRR060369	Female	unk
SRR060370	Female	unk
SRR060371	Female	unk
SRR060410	Female	unk
SRR060411	Female	unk
SRR061136	Female	unk
SRR061138	Female	unk
SRR061143	Female	unk
SRR061144	Female	unk
SRR061145	Female	unk
SRR061147	Female	unk
SRR061149	Female	unk
SRR061150	Female	unk
SRR061151	Female	unk
SRR061152	Female	unk
SRR061154	Female	unk
SRR061156	Female	unk
SRR061158	Female	unk
SRR061164	Female	unk
SRR061166	Female	unk
SRR061167	Female	unk
SRR061169	Female	unk
SRR061172	Female	unk
SRR061181	Female	unk
SRR061182	Female	unk
SRR061187	Female	unk
SRR061188	Female	unk
SRR061190	Female	unk
SRR061199	Female	unk
SRR061204	Female	unk
SRR061219	Female	unk
SRR061226	Female	unk
SRR061229	Female	unk
SRR061235	Female	unk
SRR061254	Female	unk
SRR061280	Female	unk
SRR061284	Female	unk
SRR061331	Female	unk
SRR061334	Female	unk
SRR061508	Female	unk
SRR061510	Female	unk
SRR061555	Female	unk
SRR061556	Female	unk
SRR061570	Female	unk
SRR061574	Female	unk
SRR061581	Female	unk
SRR061586	Female	unk
SRR061730	Female	unk
SRR061731	Female	unk
SRR061931	Female	unk
SRR061932	Female	unk
SRR061933	Female	unk
SRR061934	Female	unk
SRR062320	Female	unk
SRR062321	Female	unk
SRR062348	Female	unk
SRR062376	Female	unk
SRR062382	Female	unk
SRR062417	Female	unk
SRR062418	Female	unk
SRR062427	Female	unk
SRR062446	Female	unk
SRR062447	Female	unk
SRR062466	Female	unk
SRR062467	Female	unk
SRR062538	Female	unk
SRR062539	Female	unk
SRR063468	Female	unk
SRR063469	Female	unk
SRR063470	Female	unk
SRR063471	Female	unk
SRR063502	Female	unk
SRR063505	Female	unk
SRR063513	Female	unk
SRR063523	Female	unk
SRR063538	Female	unk
SRR063539	Female	unk
SRR063543	Female	unk
SRR063544	Female	unk
SRR063545	Female	unk
SRR063547	Female	unk
SRR063548	Female	unk
SRR063549	Female	unk
SRR063556	Female	unk
SRR063557	Female	unk
SRR063558	Female	unk
SRR063560	Female	unk
SRR063561	Female	unk
SRR063562	Female	unk
SRR063563	Female	unk
SRR063564	Female	unk
SRR063570	Female	unk
SRR063571	Female	unk
SRR063576	Female	unk
SRR063579	Female	unk
SRR063586	Female	unk
SRR063587	Female	unk
SRR063588	Female	unk
SRR063589	Female	unk
SRR063903	Female	unk
SRR063904	Female	unk
SRR063907	Female	unk
SRR063908	Female	unk
SRR063909	Female	unk
SRR063915	Female	unk
SRR063921	Female	unk
SRR346656	Female	unk
SRR346670	Female	unk
SRR346679	Female	unk
SRR346686	Female	unk
SRR346689	Female	unk
SRR346691	Female	unk
SRR353617	Female	unk
SRR059330	Male	unk
SRR059331	Male	unk
SRR059338	Male	unk
SRR059339	Male	unk
SRR059342	Male	unk
SRR059343	Male	unk
SRR059350	Male	unk
SRR059351	Male	unk
SRR059354	Male	unk
SRR059355	Male	unk
SRR059356	Male	unk
SRR059357	Male	unk
SRR059366	Male	unk
SRR059367	Male	unk
SRR059372	Male	unk
