 LEVEL TAXA abundance
1107 genus Terrimonas 0.0
1108 genus Terrisporobacter 0.0
1109 genus Tessaracoccus 0.0
1110 genus Tetragenococcus 0.0
1111 genus Tetrasphaera 0.0
1112 genus Thalassobacillus 0.0
1113 genus Thalassospira 0.0
1114 genus Thauera 0.0
1115 genus Thermacetogenium 0.0
1116 genus Thermaerobacter 0.0
1117 genus Thermanaerovibrio 0.0
1118 genus Thermoactinomyces 0.0
1119 genus Thermoanaerobacter 0.0
1120 genus Thermoanaerobacterium 0.0
1121 genus Thermoanaerobaculum 0.0
1122 genus Thermobacillus 0.0
1123 genus Thermobaculum 0.0
1124 genus Thermobrachium 0.0
1125 genus Thermodesulfovibrio 0.0
1126 genus Thermogemmatispora 0.0
1127 genus Thermonema 0.0
1128 genus Thermophagus 0.0
1129 genus Thermosediminibacter 0.0
1130 genus Thermosinus 0.0
1131 genus Thermosipho 0.0
1132 genus Thermus 0.0
1133 genus Thioalkalivibrio 0.0
1134 genus Thiobacillus 0.0
1135 genus Thiohalocapsa 0.0
1136 genus Thiomicrospira 0.0
1137 genus Thiomonas 0.0
1138 genus Thiorhodococcus 0.0
1139 genus Thiothrix 0.0
1140 genus Timonella 0.0
1141 genus Tolumonas 0.0
1142 genus Treponema 0.0006
1143 genus Trichodesmium 0.0
1144 genus Tropheryma 0.0
1145 genus Trueperella 0.0
1146 genus Tumebacillus 0.0
1147 genus Turicibacter 0.0
1148 genus Turneriella 0.0
1149 genus Tyzzerella 0.0
1150 genus Ureaplasma 0.0001
1151 genus Vagococcus 0.0
1152 genus Varibaculum 0.0002
1153 genus Variovorax 0.0
1154 genus Veillonella 0.0
1155 genus Verminephrobacter 0.0
1156 genus Verrucomicrobium 0.0
1157 genus Vibrio 0.0
1158 genus Virgibacillus 0.0
1159 genus Vitreoscilla 0.0
1160 genus Weeksella 0.0
1161 genus Weissella 0.0
1162 genus Williamsia 0.0
1163 genus Wohlfahrtiimonas 0.0
