	source	target	weight	edge_sample	edcolor
50	Corynebacterium matruchotii	Abiotrophia defectiva	3.0	Intertype	#cccccc
51	Abiotrophia defectiva	Corynebacterium matruchotii	3.0	Intertype	#cccccc
52	Filifactor alocis	Capnocytophaga sp. oral taxon 863	2.0	Intertype	#cccccc
53	Capnocytophaga sp. oral taxon 863	Filifactor alocis	2.0	Intertype	#cccccc
54	Fusobacterium sp. CM22	Aggregatibacter segnis	2.0	Intertype	#cccccc
55	Aggregatibacter segnis	Fusobacterium sp. CM22	2.0	Intertype	#cccccc
56	Fusobacterium sp. CM22	Capnocytophaga sp. oral taxon 863	2.0	Supragingival_plaque	#ff964f
57	Capnocytophaga sp. oral taxon 863	Fusobacterium sp. CM22	2.0	Supragingival_plaque	#ff964f
58	Gemella morbillorum	Abiotrophia defectiva	3.0	Intertype	#cccccc
59	Abiotrophia defectiva	Gemella morbillorum	3.0	Intertype	#cccccc
60	Haemophilus paraphrohaemolyticus	Granulicatella elegans	2.0	Intertype	#cccccc
61	Granulicatella elegans	Haemophilus paraphrohaemolyticus	2.0	Intertype	#cccccc
62	Kingella oralis	Actinomyces naeslundii	2.0	Supragingival_plaque	#ff964f
63	Actinomyces naeslundii	Kingella oralis	2.0	Supragingival_plaque	#ff964f
64	Kingella oralis	Actinomyces sp. oral taxon 171	2.0	Supragingival_plaque	#ff964f
65	Actinomyces sp. oral taxon 171	Kingella oralis	2.0	Supragingival_plaque	#ff964f
66	Kingella oralis	Actinomyces sp. oral taxon 175	2.0	Supragingival_plaque	#ff964f
67	Actinomyces sp. oral taxon 175	Kingella oralis	2.0	Supragingival_plaque	#ff964f
68	Kingella oralis	Actinomyces viscosus	2.0	Supragingival_plaque	#ff964f
69	Actinomyces viscosus	Kingella oralis	2.0	Supragingival_plaque	#ff964f
70	Kingella oralis	Aggregatibacter segnis	3.0	Intertype	#cccccc
71	Aggregatibacter segnis	Kingella oralis	3.0	Intertype	#cccccc
72	Kingella oralis	Campylobacter rectus	2.0	Intertype	#cccccc
73	Campylobacter rectus	Kingella oralis	2.0	Intertype	#cccccc
74	Kingella oralis	Fusobacterium sp. CM22	2.0	Supragingival_plaque	#ff964f
75	Fusobacterium sp. CM22	Kingella oralis	2.0	Supragingival_plaque	#ff964f
76	Leptotrichia buccalis	Faecalibacterium prausnitzii	2.0	Intertype	#cccccc
77	Faecalibacterium prausnitzii	Leptotrichia buccalis	2.0	Intertype	#cccccc
78	Leptotrichia buccalis	Gardnerella vaginalis	2.0	Intertype	#cccccc
79	Gardnerella vaginalis	Leptotrichia buccalis	2.0	Intertype	#cccccc
80	Leptotrichia goodfellowii	Centipeda periodontii	3.0	Intertype	#cccccc
81	Centipeda periodontii	Leptotrichia goodfellowii	3.0	Intertype	#cccccc
82	Leptotrichia hofstadii	Faecalibacterium prausnitzii	2.0	Intertype	#cccccc
83	Faecalibacterium prausnitzii	Leptotrichia hofstadii	2.0	Intertype	#cccccc
84	Leptotrichia hofstadii	Gardnerella vaginalis	2.0	Intertype	#cccccc
85	Gardnerella vaginalis	Leptotrichia hofstadii	2.0	Intertype	#cccccc
86	Leptotrichia hofstadii	Leptotrichia buccalis	3.0	Supragingival_plaque	#ff964f
87	Leptotrichia buccalis	Leptotrichia hofstadii	3.0	Supragingival_plaque	#ff964f
88	Leptotrichia shahii	Faecalibacterium prausnitzii	2.0	Intertype	#cccccc
89	Faecalibacterium prausnitzii	Leptotrichia shahii	2.0	Intertype	#cccccc
90	Leptotrichia shahii	Gardnerella vaginalis	2.0	Intertype	#cccccc
91	Gardnerella vaginalis	Leptotrichia shahii	2.0	Intertype	#cccccc
92	Leptotrichia shahii	Lachnospiraceae bacterium oral taxon 082	3.0	Tongue_dorsum	#ff0000
93	Lachnospiraceae bacterium oral taxon 082	Leptotrichia shahii	3.0	Tongue_dorsum	#ff0000
94	Leptotrichia sp. oral taxon 225	Centipeda periodontii	2.0	Intertype	#cccccc
95	Centipeda periodontii	Leptotrichia sp. oral taxon 225	2.0	Intertype	#cccccc
96	Leptotrichia trevisanii	Faecalibacterium prausnitzii	2.0	Intertype	#cccccc
97	Faecalibacterium prausnitzii	Leptotrichia trevisanii	2.0	Intertype	#cccccc
98	Leptotrichia trevisanii	Gardnerella vaginalis	2.0	Intertype	#cccccc
99	Gardnerella vaginalis	Leptotrichia trevisanii	2.0	Intertype	#cccccc
100	Leptotrichia trevisanii	Lachnospiraceae bacterium oral taxon 082	3.0	Intertype	#cccccc
101	Lachnospiraceae bacterium oral taxon 082	Leptotrichia trevisanii	3.0	Intertype	#cccccc
102	Leptotrichia trevisanii	Leptotrichia shahii	3.0	Intertype	#cccccc
103	Leptotrichia shahii	Leptotrichia trevisanii	3.0	Intertype	#cccccc
104	Leptotrichia wadei	Faecalibacterium prausnitzii	2.0	Intertype	#cccccc
105	Faecalibacterium prausnitzii	Leptotrichia wadei	2.0	Intertype	#cccccc
106	Leptotrichia wadei	Gardnerella vaginalis	2.0	Intertype	#cccccc
107	Gardnerella vaginalis	Leptotrichia wadei	2.0	Intertype	#cccccc
108	Leptotrichia wadei	Lachnospiraceae bacterium oral taxon 082	3.0	Tongue_dorsum	#ff0000
109	Lachnospiraceae bacterium oral taxon 082	Leptotrichia wadei	3.0	Tongue_dorsum	#ff0000
110	Leptotrichia wadei	Leptotrichia shahii	3.0	Tongue_dorsum	#ff0000
111	Leptotrichia shahii	Leptotrichia wadei	3.0	Tongue_dorsum	#ff0000
112	Leptotrichia wadei	Leptotrichia trevisanii	3.0	Intertype	#cccccc
113	Leptotrichia trevisanii	Leptotrichia wadei	3.0	Intertype	#cccccc
114	Megasphaera micronuciformis	Alloprevotella rava	3.0	Saliva	#7effb5
115	Alloprevotella rava	Megasphaera micronuciformis	3.0	Saliva	#7effb5
116	Megasphaera micronuciformis	Leptotrichia sp. oral taxon 879	2.0	Intertype	#cccccc
117	Leptotrichia sp. oral taxon 879	Megasphaera micronuciformis	2.0	Intertype	#cccccc
118	Neisseria flavescens	Alloprevotella tannerae	3.0	Intertype	#cccccc
