	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
407	Eubacterium brachy	4	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
408	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
409	Neisseria sicca	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
410	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
411	Neisseria sp. oral taxon 014	3	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
412	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
413	Oribacterium sp. oral taxon 078	4	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
414	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
415	Peptostreptococcaceae bacterium AS15	2	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
416	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
417	Prevotella micans	2	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
418	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
419	Prevotella saccharolytica	3	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
420	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
421	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
422	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
423	Actinomyces naeslundii	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
424	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
425	Actinomyces sp. oral taxon 171	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
426	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
427	Actinomyces sp. oral taxon 175	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
428	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
429	Actinomyces viscosus	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
430	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
431	Campylobacter rectus	2	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
432	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
433	Neisseria subflava	3	Throat	#ff5029	4.0	0.0	#10c6e6	#8000ff
434	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
435	Peptostreptococcaceae bacterium AS15	2	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
436	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
437	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
438	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
439	Prevotella sp. oral taxon 473	5	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
