	source	target	weight	edge_sample	edcolor
4158	Streptococcus sp. 1171_SSPC	Kingella kingae	4.0	Intertype	#cccccc
4159	Kingella kingae	Streptococcus sp. 1171_SSPC	4.0	Intertype	#cccccc
4160	Streptococcus sp. 1171_SSPC	Leptotrichia sp. oral taxon 212	4.0	Intertype	#cccccc
4161	Leptotrichia sp. oral taxon 212	Streptococcus sp. 1171_SSPC	4.0	Intertype	#cccccc
4162	Streptococcus sp. 1171_SSPC	Neisseria meningitidis	5.0	Intertype	#cccccc
4163	Neisseria meningitidis	Streptococcus sp. 1171_SSPC	5.0	Intertype	#cccccc
4164	Streptococcus sp. 1171_SSPC	Oribacterium parvum	5.0	Tongue_dorsum	#ff0000
4165	Oribacterium parvum	Streptococcus sp. 1171_SSPC	5.0	Tongue_dorsum	#ff0000
4166	Streptococcus sp. 1171_SSPC	Porphyromonas endodontalis	5.0	Intertype	#cccccc
4167	Porphyromonas endodontalis	Streptococcus sp. 1171_SSPC	5.0	Intertype	#cccccc
4168	Streptococcus sp. 1171_SSPC	Prevotella denticola	5.0	Intertype	#cccccc
4169	Prevotella denticola	Streptococcus sp. 1171_SSPC	5.0	Intertype	#cccccc
4170	Streptococcus sp. 1171_SSPC	Prevotella nanceiensis	5.0	Tongue_dorsum	#ff0000
4171	Prevotella nanceiensis	Streptococcus sp. 1171_SSPC	5.0	Tongue_dorsum	#ff0000
4172	Streptococcus sp. 1171_SSPC	Prevotella scopos	5.0	Tongue_dorsum	#ff0000
4173	Prevotella scopos	Streptococcus sp. 1171_SSPC	5.0	Tongue_dorsum	#ff0000
4174	Streptococcus sp. 1171_SSPC	Solobacterium moorei	5.0	Tongue_dorsum	#ff0000
4175	Solobacterium moorei	Streptococcus sp. 1171_SSPC	5.0	Tongue_dorsum	#ff0000
4176	Streptococcus sp. 1171_SSPC	Streptococcus infantis	6.0	Tongue_dorsum	#ff0000
4177	Streptococcus infantis	Streptococcus sp. 1171_SSPC	6.0	Tongue_dorsum	#ff0000
4178	Streptococcus sp. 263_SSPC	Actinomyces sp. ICM39	4.0	Tongue_dorsum	#ff0000
4179	Actinomyces sp. ICM39	Streptococcus sp. 263_SSPC	4.0	Tongue_dorsum	#ff0000
