	source	target	weight	edge_sample	edcolor
1368	Treponema succinifaciens	Actinomyces slackii	1.0	Intertype	#cccccc
1369	Actinomyces slackii	Treponema succinifaciens	1.0	Intertype	#cccccc
1370	Treponema succinifaciens	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
1371	Actinomyces sp. ICM47	Treponema succinifaciens	1.0	Intertype	#cccccc
1372	Treponema succinifaciens	Bulleidia extructa	1.0	Intertype	#cccccc
1373	Bulleidia extructa	Treponema succinifaciens	1.0	Intertype	#cccccc
1374	Treponema succinifaciens	Eubacterium saphenum	1.0	Intertype	#cccccc
1375	Eubacterium saphenum	Treponema succinifaciens	1.0	Intertype	#cccccc
1376	Treponema succinifaciens	Fusobacterium necrophorum	1.0	Intertype	#cccccc
1377	Fusobacterium necrophorum	Treponema succinifaciens	1.0	Intertype	#cccccc
1378	Treponema succinifaciens	Fusobacterium sp. CM21	1.0	Intertype	#cccccc
1379	Fusobacterium sp. CM21	Treponema succinifaciens	1.0	Intertype	#cccccc
1380	Treponema succinifaciens	Olsenella uli	1.0	Intertype	#cccccc
1381	Olsenella uli	Treponema succinifaciens	1.0	Intertype	#cccccc
1382	Treponema succinifaciens	Peptostreptococcaceae bacterium ACC19a	1.0	Intertype	#cccccc
1383	Peptostreptococcaceae bacterium ACC19a	Treponema succinifaciens	1.0	Intertype	#cccccc
1384	Treponema succinifaciens	Peptostreptococcaceae bacterium OBRC8	1.0	Intertype	#cccccc
1385	Peptostreptococcaceae bacterium OBRC8	Treponema succinifaciens	1.0	Intertype	#cccccc
1386	Treponema succinifaciens	Prevotella baroniae	1.0	Intertype	#cccccc
1387	Prevotella baroniae	Treponema succinifaciens	1.0	Intertype	#cccccc
1388	Treponema succinifaciens	Prevotella sp. C561	1.0	Intertype	#cccccc
1389	Prevotella sp. C561	Treponema succinifaciens	1.0	Intertype	#cccccc
1390	Treponema succinifaciens	Prevotella sp. ICM33	1.0	Intertype	#cccccc
1391	Prevotella sp. ICM33	Treponema succinifaciens	1.0	Intertype	#cccccc
1392	Treponema succinifaciens	Pseudoramibacter alactolyticus	1.0	Intertype	#cccccc
1393	Pseudoramibacter alactolyticus	Treponema succinifaciens	1.0	Intertype	#cccccc
1394	Treponema succinifaciens	Sanguibacter keddieii	1.0	Intertype	#cccccc
1395	Sanguibacter keddieii	Treponema succinifaciens	1.0	Intertype	#cccccc
1396	Treponema succinifaciens	Streptococcus massiliensis	1.0	Intertype	#cccccc
1397	Streptococcus massiliensis	Treponema succinifaciens	1.0	Intertype	#cccccc
1398	Treponema succinifaciens	Treponema pedis	1.0	Subgingival_plaque	#e4cf74
1399	Treponema pedis	Treponema succinifaciens	1.0	Subgingival_plaque	#e4cf74
1400	Treponema succinifaciens	Treponema putidum	1.0	Subgingival_plaque	#e4cf74
1401	Treponema putidum	Treponema succinifaciens	1.0	Subgingival_plaque	#e4cf74
1402	Treponema vincentii	Alloprevotella tannerae	3.0	Subgingival_plaque	#e4cf74
1403	Alloprevotella tannerae	Treponema vincentii	3.0	Subgingival_plaque	#e4cf74
1404	Treponema vincentii	Campylobacter curvus	3.0	Intertype	#cccccc
1405	Campylobacter curvus	Treponema vincentii	3.0	Intertype	#cccccc
1406	Treponema vincentii	Capnocytophaga granulosa	5.0	Intertype	#cccccc
1407	Capnocytophaga granulosa	Treponema vincentii	5.0	Intertype	#cccccc
1408	Treponema vincentii	Parvimonas sp. oral taxon 110	3.0	Subgingival_plaque	#e4cf74
1409	Parvimonas sp. oral taxon 110	Treponema vincentii	3.0	Subgingival_plaque	#e4cf74
1410	Treponema vincentii	Prevotella melaninogenica	3.0	Intertype	#cccccc
1411	Prevotella melaninogenica	Treponema vincentii	3.0	Intertype	#cccccc
1412	Treponema vincentii	Streptococcus constellatus	4.0	Subgingival_plaque	#e4cf74
1413	Streptococcus constellatus	Treponema vincentii	4.0	Subgingival_plaque	#e4cf74
1414	Treponema vincentii	Treponema denticola	3.0	Subgingival_plaque	#e4cf74
1415	Treponema denticola	Treponema vincentii	3.0	Subgingival_plaque	#e4cf74
1416	Veillonella atypica	Haemophilus sp. C1	1.0	Intertype	#cccccc
1417	Haemophilus sp. C1	Veillonella atypica	1.0	Intertype	#cccccc
1418	Veillonella atypica	Neisseria polysaccharea	1.0	Intertype	#cccccc
1419	Neisseria polysaccharea	Veillonella atypica	1.0	Intertype	#cccccc
1420	Veillonella atypica	Peptoniphilus lacrimalis	1.0	Intertype	#cccccc
1421	Peptoniphilus lacrimalis	Veillonella atypica	1.0	Intertype	#cccccc
1422	Veillonella atypica	Streptococcus sinensis	1.0	Intertype	#cccccc
1423	Streptococcus sinensis	Veillonella atypica	1.0	Intertype	#cccccc
1424	Veillonella atypica	Streptococcus sp. 1171_SSPC	1.0	Intertype	#cccccc
1425	Streptococcus sp. 1171_SSPC	Veillonella atypica	1.0	Intertype	#cccccc
1426	Veillonella atypica	Streptococcus sp. 343_SSPC	1.0	Intertype	#cccccc
1427	Streptococcus sp. 343_SSPC	Veillonella atypica	1.0	Intertype	#cccccc
1428	Veillonella atypica	Streptococcus sp. 400_SSPC	1.0	Intertype	#cccccc
1429	Streptococcus sp. 400_SSPC	Veillonella atypica	1.0	Intertype	#cccccc
1430	Veillonella atypica	Streptococcus sp. CCH8-G7	1.0	Intertype	#cccccc
1431	Streptococcus sp. CCH8-G7	Veillonella atypica	1.0	Intertype	#cccccc
1432	Veillonella atypica	Streptococcus sp. SR1	1.0	Intertype	#cccccc
1433	Streptococcus sp. SR1	Veillonella atypica	1.0	Intertype	#cccccc
1434	Veillonella atypica	Streptococcus tigurinus	1.0	Intertype	#cccccc
1435	Streptococcus tigurinus	Veillonella atypica	1.0	Intertype	#cccccc
1436	Veillonella dispar	Prevotella bivia	3.0	Intertype	#cccccc
1437	Prevotella bivia	Veillonella dispar	3.0	Intertype	#cccccc
1438	Veillonella dispar	Prevotella sp. oral taxon 473	3.0	Intertype	#cccccc
1439	Prevotella sp. oral taxon 473	Veillonella dispar	3.0	Intertype	#cccccc
1440	Veillonella parvula	Capnocytophaga sp. oral taxon 329	5.0	Intertype	#cccccc
1441	Capnocytophaga sp. oral taxon 329	Veillonella parvula	5.0	Intertype	#cccccc
1442	Veillonella parvula	Paraprevotella clara	5.0	Intertype	#cccccc
1443	Paraprevotella clara	Veillonella parvula	5.0	Intertype	#cccccc
1444	Veillonella parvula	Streptococcus pseudopneumoniae	5.0	Intertype	#cccccc
1445	Streptococcus pseudopneumoniae	Veillonella parvula	5.0	Intertype	#cccccc
1446	Veillonella sp. 6_1_27	Prevotella shahii	3.0	Tongue_dorsum	#ff0000
1447	Prevotella shahii	Veillonella sp. 6_1_27	3.0	Tongue_dorsum	#ff0000
1448	Veillonella sp. AS16	Haemophilus sp. C1	1.0	Intertype	#cccccc
1449	Haemophilus sp. C1	Veillonella sp. AS16	1.0	Intertype	#cccccc
1450	Veillonella sp. AS16	Neisseria polysaccharea	1.0	Intertype	#cccccc
1451	Neisseria polysaccharea	Veillonella sp. AS16	1.0	Intertype	#cccccc
1452	Veillonella sp. AS16	Peptoniphilus lacrimalis	1.0	Tongue_dorsum	#ff0000
1453	Peptoniphilus lacrimalis	Veillonella sp. AS16	1.0	Tongue_dorsum	#ff0000
1454	Veillonella sp. AS16	Streptococcus sinensis	1.0	Intertype	#cccccc
1455	Streptococcus sinensis	Veillonella sp. AS16	1.0	Intertype	#cccccc
1456	Veillonella sp. AS16	Streptococcus sp. 1171_SSPC	1.0	Tongue_dorsum	#ff0000
1457	Streptococcus sp. 1171_SSPC	Veillonella sp. AS16	1.0	Tongue_dorsum	#ff0000
1458	Veillonella sp. AS16	Streptococcus sp. 343_SSPC	1.0	Intertype	#cccccc
1459	Streptococcus sp. 343_SSPC	Veillonella sp. AS16	1.0	Intertype	#cccccc
1460	Veillonella sp. AS16	Streptococcus sp. 400_SSPC	1.0	Intertype	#cccccc
1461	Streptococcus sp. 400_SSPC	Veillonella sp. AS16	1.0	Intertype	#cccccc
1462	Veillonella sp. AS16	Streptococcus sp. CCH8-G7	1.0	Intertype	#cccccc
1463	Streptococcus sp. CCH8-G7	Veillonella sp. AS16	1.0	Intertype	#cccccc
1464	Veillonella sp. AS16	Streptococcus sp. SR1	1.0	Intertype	#cccccc
1465	Streptococcus sp. SR1	Veillonella sp. AS16	1.0	Intertype	#cccccc
1466	Veillonella sp. AS16	Streptococcus tigurinus	1.0	Intertype	#cccccc
1467	Streptococcus tigurinus	Veillonella sp. AS16	1.0	Intertype	#cccccc
1468	Veillonella sp. AS16	Veillonella atypica	1.0	Intertype	#cccccc
1469	Veillonella atypica	Veillonella sp. AS16	1.0	Intertype	#cccccc
1470	Veillonella sp. oral taxon 780	Actinomyces meyeri	3.0	Intertype	#cccccc
1471	Actinomyces meyeri	Veillonella sp. oral taxon 780	3.0	Intertype	#cccccc
1472	Veillonella sp. oral taxon 780	Campylobacter showae	3.0	Intertype	#cccccc
1473	Campylobacter showae	Veillonella sp. oral taxon 780	3.0	Intertype	#cccccc
1474	Veillonella sp. oral taxon 780	Leptotrichia goodfellowii	3.0	Intertype	#cccccc
1475	Leptotrichia goodfellowii	Veillonella sp. oral taxon 780	3.0	Intertype	#cccccc
1476	Veillonella sp. oral taxon 780	Ottowia sp. oral taxon 894	3.0	Intertype	#cccccc
1477	Ottowia sp. oral taxon 894	Veillonella sp. oral taxon 780	3.0	Intertype	#cccccc
