source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Comamonadaceae	108	Comamonadaceae	Atopobiaceae	2.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	4.0	2.0	#ff964f	#7effb5
Atopobiaceae	109	Atopobiaceae	Comamonadaceae	2.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	1.0	1.0	#1996f3	#01b3ec
Comamonadaceae	110	Comamonadaceae	Bacillaceae	3.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	4.0	2.0	#ff964f	#7effb5
Bacillaceae	111	Bacillaceae	Comamonadaceae	3.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	4.0	2.0	#ff964f	#7effb5
Comamonadaceae	112	Comamonadaceae	Bradyrhizobiaceae	1.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	4.0	2.0	#ff964f	#7effb5
Bradyrhizobiaceae	113	Bradyrhizobiaceae	Comamonadaceae	1.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	4.0	2.0	#ff964f	#7effb5
Comamonadaceae	114	Comamonadaceae	Burkholderiaceae	1.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	4.0	2.0	#ff964f	#7effb5
Burkholderiaceae	115	Burkholderiaceae	Comamonadaceae	1.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Comamonadaceae	116	Comamonadaceae	Cardiobacteriaceae	1.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	4.0	2.0	#ff964f	#7effb5
Cardiobacteriaceae	117	Cardiobacteriaceae	Comamonadaceae	1.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Comamonadaceae	118	Comamonadaceae	Cellulomonadaceae	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	4.0	2.0	#ff964f	#7effb5
Cellulomonadaceae	119	Cellulomonadaceae	Comamonadaceae	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Comamonadaceae	120	Comamonadaceae	Chromatiaceae	1.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	4.0	2.0	#ff964f	#7effb5
Chromatiaceae	121	Chromatiaceae	Comamonadaceae	1.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	4.0	2.0	#ff964f	#7effb5
Comamonadaceae	122	Comamonadaceae	Clostridiales Family XIII. Incertae Sedis	3.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	4.0	2.0	#ff964f	#7effb5
