source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Bacillales	119	Bacillales	Eggerthellales	3.0	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	3.0	0.0	#7effb5	#8000ff
Eggerthellales	120	Eggerthellales	Bacteroidales	7.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Bacteroidales	121	Bacteroidales	Eggerthellales	7.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Eggerthellales	122	Eggerthellales	Burkholderiales	3.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Burkholderiales	123	Burkholderiales	Eggerthellales	3.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	2.0	1.0	#2adddd	#01b3ec
Eggerthellales	124	Eggerthellales	Campylobacterales	2.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Campylobacterales	125	Campylobacterales	Eggerthellales	2.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	1.0	#7effb5	#01b3ec
Eggerthellales	126	Eggerthellales	Cardiobacteriales	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Cardiobacteriales	127	Cardiobacteriales	Eggerthellales	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	1.0	#7effb5	#01b3ec
Eggerthellales	128	Eggerthellales	Clostridiales	8.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Clostridiales	129	Clostridiales	Eggerthellales	8.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Eggerthellales	130	Eggerthellales	Coriobacteriales	1.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	3.0	0.0	#7effb5	#8000ff
Coriobacteriales	131	Coriobacteriales	Eggerthellales	1.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	3.0	0.0	#7effb5	#8000ff
