	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
170	Hallella	1	Stool	#b2f396	19.0	16.0	#ff0000	#f2c26b
171	Escherichia	17	Stool	#b2f396	19.0	16.0	#ff0000	#f2c26b
172	Helicobacter	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
173	Arcanobacterium	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
174	Helicobacter	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
175	Aureimonas	8	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
176	Helicobacter	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
177	Crocosphaera	19	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
178	Helicobacter	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
179	Exiguobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
180	Helicobacter	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
181	Gulbenkiania	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
182	Herbaspirillum	3	Mid_vagina	#18cde4	17.0	12.0	#ff532a	#96fca7
183	Bosea	16	Posterior_fornix	#4df3ce	17.0	12.0	#ff532a	#96fca7
184	Herbaspirillum	3	Mid_vagina	#18cde4	17.0	12.0	#ff532a	#96fca7
185	Enhydrobacter	3	Posterior_fornix	#4df3ce	17.0	12.0	#ff532a	#96fca7
186	Herbaspirillum	3	Mid_vagina	#18cde4	17.0	12.0	#ff532a	#96fca7
187	Fenollaria	1	Posterior_fornix	#4df3ce	17.0	12.0	#ff532a	#96fca7
188	Holdemania	15	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
189	Acetivibrio	28	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
190	Holdemania	15	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
191	Anaerotruncus	30	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
192	Holdemania	15	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
193	Faecalitalea	2	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
194	Hungatella	1	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
195	Anaerofustis	27	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
196	Hungatella	1	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
197	Desulfotomaculum	24	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
198	Hungatella	1	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
199	Desulfovibrio	6	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
200	Hungatella	1	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
201	Gordonibacter	2	Stool	#b2f396	12.0	4.0	#c2ea8c	#2489f5
202	Janibacter	8	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
203	Afipia	24	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
204	Janibacter	8	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
205	Bradyrhizobium	43	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
206	Janibacter	8	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
207	Citrobacter	1	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
208	Janibacter	8	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
209	Conchiformibius	13	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
210	Janibacter	8	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
211	Flavobacterium	40	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
212	Kandleria	39	Stool	#b2f396	7.0	15.0	#3ae8d6	#dbd87b
213	Catenibacterium	1	Stool	#b2f396	7.0	15.0	#3ae8d6	#dbd87b
214	Kocuria	3	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
215	Arcanobacterium	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
216	Kocuria	3	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
217	Aureimonas	8	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
218	Kocuria	3	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
219	Crocosphaera	19	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
220	Kocuria	3	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
221	Exiguobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
222	Kocuria	3	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
223	Gulbenkiania	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
224	Kocuria	3	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
225	Helicobacter	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
226	Lawsonella	10	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
227	Aureimonas	8	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
228	Lawsonella	10	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
229	Crocosphaera	19	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
230	Lawsonella	10	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
231	Gulbenkiania	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
232	Lawsonella	10	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
233	Helicobacter	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
234	Leucobacter	12	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
235	Arcanobacterium	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
236	Leucobacter	12	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
237	Aureimonas	8	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
238	Leucobacter	12	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
239	Crocosphaera	19	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
240	Leucobacter	12	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
241	Exiguobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
242	Leucobacter	12	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
243	Gulbenkiania	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
244	Leucobacter	12	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
245	Helicobacter	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
246	Leucobacter	12	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
247	Kocuria	3	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
248	Leuconostoc	1	Saliva	#7effb5	2.0	13.0	#4c50fc	#acf59a
249	Brochothrix	2	Saliva	#7effb5	2.0	13.0	#4c50fc	#acf59a
250	Levyella	14	Anterior_nares	#8000ff	10.0	14.0	#8cfead	#c4e88a
251	Catabacter	1	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
252	Levyella	14	Anterior_nares	#8000ff	10.0	14.0	#8cfead	#c4e88a
253	Faecalicoccus	2	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
254	Mangrovimonas	5	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
255	Actinobacillus	10	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
256	Mangrovimonas	5	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
257	Avibacterium	9	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
258	Mangrovimonas	5	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
259	Basfia	23	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
260	Mangrovimonas	5	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
261	Bibersteinia	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
262	Mangrovimonas	5	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
263	Dehalobacter	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
264	Mangrovimonas	5	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
265	Echinicola	13	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
266	Mangrovimonas	5	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
267	Gallibacterium	5	Attached	#4e4dfc	4.0	3.0	#169bf2	#3c68f9
268	Mannheimia	11	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
269	Actinobacillus	10	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
270	Mannheimia	11	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
271	Basfia	23	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
272	Mannheimia	11	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
273	Dehalobacter	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
274	Mannheimia	11	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
275	Echinicola	13	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
276	Mannheimia	11	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
277	Gallibacterium	5	Attached	#4e4dfc	4.0	3.0	#169bf2	#3c68f9
278	Mannheimia	11	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
279	Mangrovimonas	5	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
280	Marvinbryantia	36	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
281	Acetivibrio	28	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
282	Marvinbryantia	36	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
283	Anaerotruncus	30	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
284	Marvinbryantia	36	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
285	Faecalitalea	2	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
286	Methylobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
287	Arcanobacterium	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
288	Methylobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
289	Aureimonas	8	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
290	Methylobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
291	Crocosphaera	19	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
292	Methylobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
293	Exiguobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
294	Methylobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
295	Gulbenkiania	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
296	Methylobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
297	Helicobacter	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
298	Methylobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
299	Kocuria	3	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
300	Methylobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
301	Leucobacter	12	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
302	Microbacterium	39	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
303	Arcanobacterium	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
304	Microbacterium	39	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
305	Aureimonas	8	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
306	Microbacterium	39	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
307	Crocosphaera	19	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
308	Microbacterium	39	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
309	Exiguobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
310	Microbacterium	39	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
311	Gulbenkiania	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
312	Microbacterium	39	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
313	Helicobacter	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
314	Microbacterium	39	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
315	Kocuria	3	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
316	Microbacterium	39	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
317	Lawsonella	10	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
318	Microbacterium	39	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
319	Leucobacter	12	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
320	Microbacterium	39	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
321	Methylobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
